x  y  conc vel  dir
  1.5000      1.5000      0.0000      3.3786      152.08    
  1.5000      4.5000      0.0000      3.3683      152.04    
  1.5000      7.5000      0.0000      3.3683      152.04    
  1.5000      10.500      0.0000      3.3622      152.04    
  1.5000      13.500      0.0000      3.3560      152.04    
  1.5000      16.500      0.0000      3.3497      152.05    
  1.5000      19.500      0.0000      3.3432      152.05    
  1.5000      22.500      0.0000      3.3417      152.09    
  1.5000      25.500      0.0000      3.3299      152.05    
  1.5000      28.500      0.0000      3.3283      152.10    
  1.5000      31.500      0.0000      3.3161      152.05    
  1.5000      34.500      0.0000      3.3145      152.10    
  1.5000      37.500      0.0000      3.3019      152.05    
  1.5000      40.500      0.0000      3.3003      152.10    
  1.5000      43.500      0.0000      3.2874      152.05    
  1.5000      46.500      0.0000      3.2857      152.11    
  1.5000      49.500      0.0000      3.2725      152.05    
  1.5000      52.500      0.0000      3.2725      152.05    
  1.5000      55.500      0.0000      3.2650      152.06    
  1.5000      58.500      0.0000      3.2574      152.06    
  1.5000      61.500      0.0000      3.2497      152.06    
  1.5000      64.500      0.0000      3.2420      152.06    
  1.5000      67.500      0.0000      3.2343      152.06    
  1.5000      70.500      0.0000      3.2264      152.06    
  1.5000      73.500      0.0000      3.2247      152.12    
  1.5000      76.500      0.0000      3.2107      152.06    
  1.5000      79.500      0.0000      3.2089      152.12    
  1.5000      82.500      0.0000      3.1948      152.06    
  1.5000      85.500      0.0000      3.1930      152.12    
  1.5000      88.500      0.0000      3.1788      152.06    
  1.5000      91.500      0.0000      3.1771      152.12    
  1.5000      94.500      0.0000      3.1628      152.06    
  1.5000      97.500      0.0000      3.1610      152.12    
  1.5000      100.50      0.0000      3.1467      152.06    
  1.5000      103.50      0.0000      3.1467      152.06    
  1.5000      106.50      0.0000      3.1387      152.06    
  1.5000      109.50      0.0000      3.1307      152.06    
  1.5000      112.50      0.0000      3.1227      152.06    
  1.5000      115.50      0.0000      3.1147      152.06    
  1.5000      118.50      0.0000      3.1129      152.12    
  1.5000      121.50      0.0000      3.0947      152.06    
  1.5000      124.50      0.0000      3.0890      151.94    
  1.5000      127.50      0.0000      3.0750      151.40    
  1.5000      130.50      0.0000      3.0735      150.98    
  1.5000      133.50      0.0000      3.0647      150.56    
  1.5000      136.50      0.0000      3.0635      150.22    
  1.5000      139.50      0.0000      3.0502      149.74    
  1.5000      142.50      0.0000      3.0433      149.54    
  1.5000      145.50      0.0000      3.0296      149.27    
  1.5000      148.50      0.0000      3.0270      148.92    
  1.5000      151.50      0.0000      3.0130      148.44    
  1.5000      154.50      0.0000      3.0122      148.02    
  1.5000      157.50      0.0000      3.0088      147.67    
  1.5000      160.50      0.0000      3.0001      147.26    
  1.5000      163.50      0.0000      2.9911      146.85    
  1.5000      166.50      0.0000      2.9821      146.44    
  1.5000      169.50      0.0000      2.9731      146.23    
  1.5000      172.50      0.0000      2.9597      145.97    
  1.5000      175.50      0.0000      2.9550      145.63    
  1.5000      178.50      0.0000      2.9408      145.16    
  1.5000      181.50      0.0000      2.9356      144.83    
  1.5000      184.50      0.0000      2.9273      144.45    
  1.5000      187.50      0.0000      2.9216      144.12    
  1.5000      190.50      0.0000      2.9073      143.67    
  1.5000      193.50      0.0000      2.8965      143.46    
  1.5000      196.50      0.0000      2.8838      143.23    
  1.5000      199.50      0.0000      2.8769      142.90    
  1.5000      202.50      0.0000      2.8627      142.47    
  1.5000      205.50      0.0000      2.8588      142.05    
  1.5000      208.50      0.0000      2.8539      141.78    
  1.5000      211.50      0.0000      2.8427      141.42    
  1.5000      214.50      0.0000      2.8310      141.06    
  1.5000      217.50      0.0000      2.8193      140.70    
  1.5000      220.50      0.0000      2.8060      140.49    
  1.5000      223.50      0.0000      2.7939      140.30    
  1.5000      226.50      0.0000      2.7838      140.00    
  1.5000      229.50      0.0000      2.7689      139.62    
  1.5000      232.50      0.0000      2.7580      139.33    
  1.5000      235.50      0.0000      2.7495      139.09    
  1.5000      238.50      0.0000      2.7377      138.80    
  1.5000      241.50      0.0000      2.7222      138.46    
  1.5000      244.50      0.0000      2.7094      138.19    
  1.5000      247.50      0.0000      2.6908      137.93    
  1.5000      250.50      0.0000      2.6814      137.85    
  1.5000      253.50      0.0000      2.6654      137.54    
  1.5000      256.50      0.0000      2.6563      137.16    
  1.5000      259.50     0.33111E-01  2.6407      136.88    
  1.5000      262.50     0.49667E-01  2.6317      136.76    
  1.5000      265.50     0.49667E-01  2.6158      136.52    
  1.5000      268.50      0.0000      2.5986      136.26    
  1.5000      271.50     0.16556E-01  2.5803      136.06    
  1.5000      274.50     0.33111E-01  2.5685      136.01    
  1.5000      277.50      0.0000      2.5509      135.78    
  1.5000      280.50      0.0000      2.5332      135.57    
  1.5000      283.50     0.16556E-01  2.5146      135.36    
  1.5000      286.50     0.11589      2.5037      135.34    
  1.5000      289.50     0.49667E-01  2.4841      135.15    
  1.5000      292.50     0.33111E-01  2.4656      135.00    
  1.5000      295.50     0.99333E-01  2.4451      134.82    
  1.5000      298.50     0.11589      2.4268      134.69    
  1.5000      301.50     0.13244      2.4193      134.54    
