x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.4476     -78.020    
  1.5000      4.5000      0.0000      2.4566     -78.023    
  1.5000      7.5000      0.0000      2.4666     -78.025    
  1.5000      10.500      0.0000      2.4775     -78.027    
  1.5000      13.500      0.0000      2.4895     -78.029    
  1.5000      16.500      0.0000      2.5025     -78.032    
  1.5000      19.500      0.0000      2.5165     -78.034    
  1.5000      22.500      0.0000      2.5316     -78.036    
  1.5000      25.500      0.0000      2.5478     -78.038    
  1.5000      28.500      0.0000      2.5650     -78.041    
  1.5000      31.500      0.0000      2.5834     -78.043    
  1.5000      34.500      0.0000      2.6029     -78.045    
  1.5000      37.500      0.0000      2.6235     -78.047    
  1.5000      40.500      0.0000      2.6452     -78.049    
  1.5000      43.500      0.0000      2.6680     -78.051    
  1.5000      46.500      0.0000      2.6919     -78.053    
  1.5000      49.500      0.0000      2.7169     -78.055    
  1.5000      52.500      0.0000      2.7430     -78.057    
  1.5000      55.500      0.0000      2.7702     -78.058    
  1.5000      58.500      0.0000      2.7984     -78.060    
  1.5000      61.500      0.0000      2.8276     -78.061    
  1.5000      64.500      0.0000      2.8578     -78.063    
  1.5000      67.500      0.0000      2.8883     -78.126    
  1.5000      70.500      0.0000      2.9203     -78.128    
  1.5000      73.500      0.0000      2.9531     -78.130    
  1.5000      76.500      0.0000      2.9867     -78.131    
  1.5000      79.500      0.0000      3.0209     -78.132    
  1.5000      82.500      0.0000      3.0559     -78.133    
  1.5000      85.500      0.0000      3.0913     -78.134    
  1.5000      88.500      0.0000      3.1273     -78.134    
  1.5000      91.500      0.0000      3.1461     -78.067    
  1.5000      94.500      0.0000      3.1644     -78.067    
  1.5000      97.500      0.0000      3.2010     -78.067    
  1.5000      100.50      0.0000      3.2378     -78.066    
  1.5000      103.50      0.0000      3.2747     -78.066    
  1.5000      106.50      0.0000      3.3116     -78.065    
  1.5000      109.50      0.0000      3.3483     -78.064    
  1.5000      112.50      0.0000      3.3849     -78.063    
  1.5000      115.50      0.0000      3.4210     -78.061    
  1.5000      118.50      0.0000      3.4568     -78.060    
  1.5000      121.50      0.0000      3.4920     -78.058    
  1.5000      124.50      0.0000      3.5266     -78.057    
  1.5000      127.50      0.0000      3.5605     -78.055    
  1.5000      130.50      0.0000      3.5936     -78.053    
  1.5000      133.50      0.0000      3.6259     -78.051    
  1.5000      136.50      0.0000      3.6572     -78.049    
  1.5000      139.50      0.0000      3.6875     -78.047    
  1.5000      142.50      0.0000      3.7168     -78.045    
  1.5000      145.50      0.0000      3.7450     -78.043    
  1.5000      148.50      0.0000      3.7720     -78.041    
