x  y  conc vel  dir
  1.5000      1.5000      0.0000      1.1266     -171.62    
  1.5000      4.5000     0.91949E-02  1.1243     -171.68    
  1.5000      7.5000     0.91949E-02  1.1220     -171.74    
  1.5000      10.500     0.91949E-02  1.1196     -171.80    
  1.5000      13.500     0.27585E-01  1.1173     -171.83    
  1.5000      16.500     0.91949E-02  1.1160     -171.86    
  1.5000      19.500     0.27585E-01  1.1135     -171.92    
  1.5000      22.500     0.27585E-01  1.1109     -171.98    
  1.5000      25.500     0.18390E-01  1.1083     -172.03    
  1.5000      28.500     0.27585E-01  1.1056     -172.09    
  1.5000      31.500     0.27585E-01  1.1028     -172.15    
  1.5000      34.500     0.11953      1.0999     -172.21    
  1.5000      37.500     0.64364E-01  1.0970     -172.27    
  1.5000      40.500     0.36780E-01  1.0941     -172.32    
  1.5000      43.500     0.27585E-01  1.0910     -172.38    
  1.5000      46.500     0.55169E-01  1.0879     -172.44    
  1.5000      49.500     0.18390E-01  1.0847     -172.49    
  1.5000      52.500     0.73559E-01  1.0814     -172.55    
  1.5000      55.500     0.73559E-01  1.0781     -172.60    
  1.5000      58.500     0.27585E-01  1.0746     -172.66    
  1.5000      61.500     0.91949E-01  1.0711     -172.71    
  1.5000      64.500     0.82754E-01  1.0675     -172.77    
  1.5000      67.500     0.10114      1.0637     -172.82    
  1.5000      70.500     0.82754E-01  1.0599     -172.88    
  1.5000      73.500     0.91949E-01  1.0560     -172.93    
  1.5000      76.500     0.91949E-01  1.0520     -172.99    
  1.5000      79.500     0.73559E-01  1.0479     -173.04    
  1.5000      82.500     0.13792      1.0437     -173.09    
  1.5000      85.500     0.11953      1.0394     -173.15    
  1.5000      88.500     0.10114      1.0349     -173.20    
  1.5000      91.500     0.11953      1.0304     -173.26    
  1.5000      94.500     0.91949E-01  1.0258     -173.31    
  1.5000      97.500     0.15631      1.0210     -173.36    
  1.5000      100.50     0.13792      1.0162     -173.42    
  1.5000      103.50     0.11953      1.0112     -173.47    
  1.5000      106.50     0.22987      1.0061     -173.52    
  1.5000      109.50     0.12873      1.0010     -173.58    
  1.5000      112.50     0.12873     0.99570     -173.63    
  1.5000      115.50     0.22068     0.99034     -173.68    
  1.5000      118.50     0.22987     0.98488     -173.73    
  1.5000      121.50     0.29424     0.97934     -173.78    
