x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.2423     -79.031    
  1.5000      4.5000      0.0000      2.2495     -79.034    
  1.5000      7.5000      0.0000      2.2575     -79.038    
  1.5000      10.500      0.0000      2.2663     -79.042    
  1.5000      13.500      0.0000      2.2710     -79.022    
  1.5000      16.500      0.0000      2.2761     -79.024    
  1.5000      19.500      0.0000      2.2866     -79.026    
  1.5000      22.500      0.0000      2.2980     -79.028    
  1.5000      25.500      0.0000      2.3104     -79.030    
  1.5000      28.500      0.0000      2.3236     -79.032    
  1.5000      31.500      0.0000      2.3378     -79.034    
  1.5000      34.500      0.0000      2.3529     -79.036    
  1.5000      37.500      0.0000      2.3690     -79.038    
  1.5000      40.500      0.0000      2.3861     -79.040    
  1.5000      43.500      0.0000      2.4041     -79.041    
  1.5000      46.500      0.0000      2.4232     -79.043    
  1.5000      49.500      0.0000      2.4432     -79.045    
  1.5000      52.500      0.0000      2.4641     -79.047    
  1.5000      55.500      0.0000      2.4860     -79.048    
  1.5000      58.500      0.0000      2.5089     -79.050    
  1.5000      61.500      0.0000      2.5327     -79.051    
  1.5000      64.500      0.0000      2.5574     -79.053    
  1.5000      67.500      0.0000      2.5831     -79.054    
  1.5000      70.500      0.0000      2.6096     -79.055    
  1.5000      73.500      0.0000      2.6369     -79.056    
  1.5000      76.500      0.0000      2.6650     -79.057    
  1.5000      79.500      0.0000      2.6939     -79.058    
  1.5000      82.500      0.0000      2.7234     -79.059    
  1.5000      85.500      0.0000      2.7537     -79.060    
  1.5000      88.500      0.0000      2.7845     -79.060    
  1.5000      91.500      0.0000      2.8158     -79.060    
  1.5000      94.500      0.0000      2.8477     -79.060    
  1.5000      97.500      0.0000      2.8799     -79.060    
  1.5000      100.50      0.0000      2.9124     -79.060    
  1.5000      103.50      0.0000      2.9452     -79.060    
  1.5000      106.50      0.0000      2.9781     -79.059    
  1.5000      109.50      0.0000      3.0111     -79.059    
  1.5000      112.50      0.0000      3.0441     -79.058    
  1.5000      115.50      0.0000      3.0770     -79.057    
  1.5000      118.50      0.0000      3.1098     -79.056    
  1.5000      121.50      0.0000      3.1422     -79.055    
  1.5000      124.50      0.0000      3.1743     -79.054    
  1.5000      127.50      0.0000      3.2059     -79.053    
  1.5000      130.50      0.0000      3.2371     -79.051    
  1.5000      133.50      0.0000      3.2676     -79.050    
  1.5000      136.50      0.0000      3.2974     -79.048    
  1.5000      139.50      0.0000      3.3266     -79.046    
  1.5000      142.50      0.0000      3.3549     -79.045    
  1.5000      145.50      0.0000      3.3824     -79.043    
  1.5000      148.50      0.0000      3.4084     -79.084    
  1.5000      151.50      0.0000      3.4340     -79.080    
  1.5000      154.50      0.0000      3.4586     -79.076    
  1.5000      157.50      0.0000      3.4822     -79.072    
  1.5000      160.50      0.0000      3.5047     -79.069    
  1.5000      163.50      0.0000      3.5260     -79.065    
  1.5000      166.50      0.0000      3.5462     -79.061    
  1.5000      169.50      0.0000      3.5651     -79.057    
  1.5000      172.50      0.0000      3.5829     -79.053    
  1.5000      175.50      0.0000      3.5994     -79.049    
  1.5000      178.50      0.0000      3.6076     -79.024    
  1.5000      181.50      0.0000      3.6149     -79.022    
  1.5000      184.50      0.0000      3.6288     -79.020    
  1.5000      187.50      0.0000      3.6413     -79.017    
  1.5000      190.50      0.0000      3.6525     -79.015    
  1.5000      193.50      0.0000      3.6623     -79.013    
  1.5000      196.50      0.0000      3.6708     -79.011    
  1.5000      199.50      0.0000      3.6778     -79.009    
  1.5000      202.50      0.0000      3.6834     -79.007    
  1.5000      205.50      0.0000      3.6877     -79.005    
  1.5000      208.50      0.0000      3.6904     -79.003    
  1.5000      211.50      0.0000      3.6918     -79.001    
  1.5000      214.50      0.0000      3.6916     -78.999    
  1.5000      217.50      0.0000      3.6900     -78.997    
  1.5000      220.50      0.0000      3.6869     -78.994    
  1.5000      223.50      0.0000      3.6823     -78.992    
  1.5000      226.50      0.0000      3.6761     -78.990    
  1.5000      229.50      0.0000      3.6684     -78.988    
  1.5000      232.50      0.0000      3.6591     -78.985    
  1.5000      235.50      0.0000      3.6483     -78.983    
  1.5000      238.50      0.0000      3.6359     -78.980    
  1.5000      241.50      0.0000      3.6219     -78.978    
  1.5000      244.50      0.0000      3.6064     -78.976    
  1.5000      247.50      0.0000      3.5894     -78.973    
  1.5000      250.50      0.0000      3.5710     -78.971    
  1.5000      253.50      0.0000      3.5512     -78.969    
  1.5000      256.50      0.0000      3.5302     -78.967    
  1.5000      259.50      0.0000      3.5080     -78.965    
  1.5000      262.50      0.0000      3.4847     -78.963    
  1.5000      265.50      0.0000      3.4604     -78.962    
  1.5000      268.50      0.0000      3.4354     -78.960    
  1.5000      271.50      0.0000      3.4097     -78.959    
  1.5000      274.50      0.0000      3.3834     -78.958    
  1.5000      277.50      0.0000      3.3566     -78.957    
  1.5000      280.50      0.0000      3.3296     -78.956    
  1.5000      283.50      0.0000      3.3024     -78.956    
  1.5000      286.50      0.0000      3.2751     -78.955    
  1.5000      289.50      0.0000      3.2479     -78.955    
  1.5000      292.50      0.0000      3.2208     -78.955    
  1.5000      295.50      0.0000      3.1938     -78.955    
  1.5000      298.50      0.0000      3.1672     -78.955    
  1.5000      301.50      0.0000      3.1409     -78.955    
  1.5000      304.50      0.0000      3.1150     -78.956    
  1.5000      307.50      0.0000      3.0896     -78.956    
  1.5000      310.50      0.0000      3.0645     -78.957    
  1.5000      313.50      0.0000      3.0405     -78.914    
  1.5000      316.50      0.0000      3.0165     -78.915    
  1.5000      319.50      0.0000      2.9930     -78.916    
  1.5000      322.50      0.0000      2.9700     -78.917    
  1.5000      325.50      0.0000      2.9475     -78.918    
  1.5000      328.50      0.0000      2.9256     -78.920    
  1.5000      331.50      0.0000      2.9042     -78.921    
  1.5000      334.50      0.0000      2.8832     -78.922    
  1.5000      337.50      0.0000      2.8629     -78.924    
  1.5000      340.50      0.0000      2.8524     -78.962    
  1.5000      343.50      0.0000      2.8426     -78.963    
  1.5000      346.50      0.0000      2.8232     -78.964    
  1.5000      349.50      0.0000      2.8043     -78.964    
  1.5000      352.50      0.0000      2.7859     -78.965    
  1.5000      355.50      0.0000      2.7680     -78.966    
  1.5000      358.50      0.0000      2.7505     -78.966    
  1.5000      361.50      0.0000      2.7336     -78.967    
  1.5000      364.50      0.0000      2.7170     -78.968    
  1.5000      367.50      0.0000      2.7010     -78.969    
  1.5000      370.50      0.0000      2.6854     -78.969    
  1.5000      373.50      0.0000      2.6702     -78.970    
