x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.0244     -77.027    
  1.5000      4.5000      0.0000      2.0336     -77.030    
  1.5000      7.5000      0.0000      2.0436     -77.032    
  1.5000      10.500      0.0000      2.0542     -77.067    
  1.5000      13.500      0.0000      2.0659     -77.072    
  1.5000      16.500      0.0000      2.0786     -77.077    
  1.5000      19.500      0.0000      2.0922     -77.082    
  1.5000      22.500      0.0000      2.1068     -77.087    
  1.5000      25.500      0.0000      2.1223     -77.092    
  1.5000      28.500      0.0000      2.1387     -77.097    
  1.5000      31.500      0.0000      2.1476     -77.050    
  1.5000      34.500      0.0000      2.1566     -77.052    
  1.5000      37.500      0.0000      2.1750     -77.055    
  1.5000      40.500      0.0000      2.1944     -77.057    
  1.5000      43.500      0.0000      2.2148     -77.059    
  1.5000      46.500      0.0000      2.2362     -77.061    
  1.5000      49.500      0.0000      2.2585     -77.063    
  1.5000      52.500      0.0000      2.2817     -77.065    
  1.5000      55.500      0.0000      2.3059     -77.067    
  1.5000      58.500      0.0000      2.3310     -77.069    
  1.5000      61.500      0.0000      2.3569     -77.070    
  1.5000      64.500      0.0000      2.3837     -77.072    
  1.5000      67.500      0.0000      2.4114     -77.073    
  1.5000      70.500      0.0000      2.4398     -77.074    
  1.5000      73.500      0.0000      2.4689     -77.075    
  1.5000      76.500      0.0000      2.4987     -77.076    
  1.5000      79.500      0.0000      2.5291     -77.076    
  1.5000      82.500      0.0000      2.5601     -77.077    
  1.5000      85.500      0.0000      2.5915     -77.077    
  1.5000      88.500      0.0000      2.6234     -77.077    
  1.5000      91.500      0.0000      2.6556     -77.076    
  1.5000      94.500      0.0000      2.6880     -77.076    
  1.5000      97.500      0.0000      2.7206     -77.075    
  1.5000      100.50      0.0000      2.7533     -77.075    
  1.5000      103.50      0.0000      2.7859     -77.073    
  1.5000      106.50      0.0000      2.8185     -77.072    
  1.5000      109.50      0.0000      2.8508     -77.071    
  1.5000      112.50      0.0000      2.8828     -77.069    
  1.5000      115.50      0.0000      2.9144     -77.068    
  1.5000      118.50      0.0000      2.9455     -77.066    
  1.5000      121.50      0.0000      2.9760     -77.064    
  1.5000      124.50      0.0000      3.0059     -77.062    
  1.5000      127.50      0.0000      3.0342     -77.120    
  1.5000      130.50      0.0000      3.0626     -77.116    
  1.5000      133.50      0.0000      3.0901     -77.112    
  1.5000      136.50      0.0000      3.1166     -77.107    
  1.5000      139.50      0.0000      3.1422     -77.102    
  1.5000      142.50      0.0000      3.1668     -77.097    
  1.5000      145.50      0.0000      3.1903     -77.092    
  1.5000      148.50      0.0000      3.2024     -77.045    
  1.5000      151.50      0.0000      3.2133     -77.043    
