x  y  conc vel  dir
  1.5000      1.5000      0.0000      5.1659      141.98    
  1.5000      4.5000      0.0000      5.1690      141.99    
  1.5000      7.5000      0.0000      5.1721      141.98    
  1.5000      10.500      0.0000      5.1750      141.99    
  1.5000      13.500      0.0000      5.1752      141.99    
  1.5000      16.500      0.0000      5.1764      142.00    
  1.5000      19.500      0.0000      5.1763      142.00    
  1.5000      22.500      0.0000      5.1750      142.01    
  1.5000      25.500      0.0000      5.1728      142.01    
  1.5000      28.500      0.0000      5.1707      142.01    
  1.5000      31.500      0.0000      5.1666      142.03    
  1.5000      34.500      0.0000      5.1613      142.02    
  1.5000      37.500      0.0000      5.1596      142.04    
  1.5000      40.500      0.0000      5.1528      142.02    
  1.5000      43.500      0.0000      5.1479      142.03    
  1.5000      46.500      0.0000      5.1401      142.06    
  1.5000      49.500      0.0000      5.1305      142.03    
  1.5000      52.500      0.0000      5.1278      142.07    
  1.5000      55.500      0.0000      5.1169      142.04    
  1.5000      58.500      0.0000      5.1096      142.04    
  1.5000      61.500      0.0000      5.0986      142.09    
  1.5000      64.500      0.0000      5.0853      142.05    
  1.5000      67.500      0.0000      5.0766      142.05    
  1.5000      70.500      0.0000      5.0638      142.10    
  1.5000      73.500      0.0000      5.0484      142.05    
  1.5000      76.500      0.0000      5.0445      142.11    
  1.5000      79.500      0.0000      5.0282      142.06    
  1.5000      82.500      0.0000      5.0177      142.06    
  1.5000      85.500      0.0000      5.0025      142.12    
  1.5000      88.500      0.0000      4.9845      142.06    
  1.5000      91.500      0.0000      4.9800      142.13    
  1.5000      94.500      0.0000      4.9612      142.07    
  1.5000      97.500      0.0000      4.9493      142.07    
  1.5000      100.50      0.0000      4.9324      142.14    
  1.5000      103.50      0.0000      4.9123      142.07    
  1.5000      106.50      0.0000      4.8996      142.07    
  1.5000      109.50      0.0000      4.8817      142.15    
  1.5000      112.50      0.0000      4.8605      142.08    
  1.5000      115.50      0.0000      4.8554      142.15    
  1.5000      118.50      0.0000      4.8337      142.08    
  1.5000      121.50      0.0000      4.8202      142.08    
  1.5000      124.50      0.0000      4.8012      142.16    
  1.5000      127.50      0.0000      4.7787      142.08    
  1.5000      130.50      0.0000      4.7734      142.16    
  1.5000      133.50      0.0000      4.7506      142.08    
  1.5000      136.50      0.0000      4.7364      142.08    
  1.5000      139.50      0.0000      4.7167      142.17    
  1.5000      142.50      0.0000      4.6934      142.09    
  1.5000      145.50      0.0000      4.6790      142.09    
  1.5000      148.50      0.0000      4.6589      142.17    
  1.5000      151.50      0.0000      4.6353      142.09    
  1.5000      154.50      0.0000      4.6297      142.18    
  1.5000      157.50      0.0000      4.6060      142.09    
  1.5000      160.50      0.0000      4.5839      142.09    
  1.5000      163.50      0.0000      4.5563      141.96    
  1.5000      166.50      0.0000      4.5328      141.29    
  1.5000      169.50      0.0000      4.5369      140.89    
  1.5000      172.50      0.0000      4.4988      140.55    
  1.5000      175.50      0.0000      4.4755      140.20    
  1.5000      178.50      0.0000      4.4705      139.79    
  1.5000      181.50      0.0000      4.4474      139.18    
  1.5000      184.50      0.0000      4.4425      138.78    
  1.5000      187.50      0.0000      4.4117      138.49    
  1.5000      190.50      0.0000      4.3883      138.13    
  1.5000      193.50      0.0000      4.3814      137.71    
  1.5000      196.50      0.0000      4.3580      137.09    
  1.5000      199.50      0.0000      4.3431      136.83    
  1.5000      202.50      0.0000      4.3214      136.66    
  1.5000      205.50      0.0000      4.2984      136.04    
  1.5000      208.50      0.0000      4.2904      135.62    
  1.5000      211.50      0.0000      4.2704      135.23    
  1.5000      214.50      0.0000      4.2386      134.74    
  1.5000      217.50      0.0000      4.2306      134.58    
  1.5000      220.50      0.0000      4.2084      133.97    
  1.5000      223.50      0.0000      4.1928      133.46    
  1.5000      226.50      0.0000      4.1793      133.19    
  1.5000      229.50      0.0000      4.1488      132.71    
  1.5000      232.50      0.0000      4.1397      132.55    
  1.5000      235.50      0.0000      4.1182      131.96    
  1.5000      238.50      0.0000      4.1021      131.46    
  1.5000      241.50      0.0000      4.0874      131.22    
  1.5000      244.50      0.0000      4.0581      130.75    
  1.5000      247.50      0.0000      4.0478      130.60    
  1.5000      250.50      0.0000      4.0181      130.14    
  1.5000      253.50      0.0000      4.0068      129.77    
  1.5000      256.50      0.0000      3.9863      129.45    
  1.5000      259.50      0.0000      3.9676      129.17    
  1.5000      262.50     0.16556E-01  3.9502      128.71    
  1.5000      265.50      0.0000      3.9235      128.37    
  1.5000      268.50      0.0000      3.9119      128.05    
  1.5000      271.50      0.0000      3.8902      127.73    
  1.5000      274.50     0.33111E-01  3.8726      127.50    
  1.5000      277.50     0.16556E-01  3.8538      127.08    
  1.5000      280.50      0.0000      3.8252      126.77    
  1.5000      283.50     0.16556E-01  3.8132      126.52    
  1.5000      286.50      0.0000      3.7903      126.20    
  1.5000      289.50     0.16556E-01  3.7643      126.13    
  1.5000      292.50      0.0000      3.7432      125.74    
  1.5000      295.50      0.0000      3.7231      125.39    
  1.5000      298.50     0.16556E-01  3.7075      125.26    
  1.5000      301.50     0.16556E-01  3.6920      125.13    
  1.5000      304.50      0.0000      3.6613      124.90    
  1.5000      307.50     0.33111E-01  3.6399      124.59    
  1.5000      310.50     0.16556E-01  3.6257      124.47    
  1.5000      313.50     0.16556E-01  3.6027      124.21    
  1.5000      316.50      0.0000      3.5871      124.13    
  1.5000      319.50     0.16556E-01  3.5551      123.95    
  1.5000      322.50     0.99333E-01  3.5335      123.73    
  1.5000      325.50     0.33111E-01  3.5165      123.64    
  1.5000      328.50     0.33111E-01  3.4859      123.54    
  1.5000      331.50     0.49667E-01  3.4722      123.55    
  1.5000      334.50     0.82778E-01  3.4466      123.30    
  1.5000      337.50     0.66222E-01  3.4249      123.16    
  1.5000      340.50     0.66222E-01  3.4080      123.17    
  1.5000      343.50     0.13244      3.3768      123.09    
  1.5000      346.50     0.11589      3.3640      123.16    
  1.5000      349.50     0.11589      3.3369      122.95    
  1.5000      352.50     0.16556      3.3219      123.08    
  1.5000      355.50     0.11589      3.3002      122.94    
  1.5000      358.50     0.66222E-01  3.2766      123.07    
  1.5000      361.50     0.16556      3.2551      123.07    
  1.5000      364.50     0.14900      3.2304      123.00    
  1.5000      367.50     0.13244      3.2033      123.21    
  1.5000      370.50     0.28144      3.1860      123.21    
  1.5000      373.50     0.18211      3.1677      123.19    
  1.5000      376.50     0.18211      3.1464      123.27    
  1.5000      379.50     0.24833      3.1214      123.26    
  1.5000      382.50     0.23178      3.0941      123.52    
  1.5000      385.50     0.21522      3.0781      123.59    
  1.5000      388.50     0.24833      3.0598      123.59    
  1.5000      391.50     0.34767      3.0388      123.75    
  1.5000      394.50     0.24833      3.0139      123.80    
  1.5000      397.50     0.39733      2.9926      124.03    
  1.5000      400.50     0.26489      2.9829      124.30    
  1.5000      403.50     0.33111      2.9583      124.38    
  1.5000      406.50     0.19867      2.9266      124.57    
  1.5000      409.50     0.24833      2.9113      124.94    
  1.5000      412.50     0.23178      2.8888      124.85    
  1.5000      415.50     0.34767      2.8799      125.15    
  1.5000      418.50     0.48011      2.8559      125.29    
  1.5000      421.50     0.31456      2.8255      125.53    
  1.5000      424.50     0.33111      2.8107      125.95    
  1.5000      427.50     0.31456      2.7893      125.89    
  1.5000      430.50     0.39733      2.7814      126.22    
  1.5000      433.50     0.41389      2.7584      126.41    
  1.5000      436.50     0.46356      2.7298      126.70    
  1.5000      439.50     0.24833      2.7161      127.15    
  1.5000      442.50     0.33111      2.7007      127.25    
  1.5000      445.50     0.36422      2.6841      127.56    
  1.5000      448.50     0.38078      2.6674      127.92    
  1.5000      451.50     0.44700      2.6454      128.12    
  1.5000      454.50     0.43044      2.6361      128.38    
  1.5000      457.50     0.46356      2.6260      128.61    
  1.5000      460.50     0.29800      2.6015      128.95    
  1.5000      463.50     0.51322      2.5870      129.34    
  1.5000      466.50     0.48011      2.5666      129.56    
  1.5000      469.50     0.41389      2.5594      129.84    
  1.5000      472.50     0.31456      2.5511      130.08    
  1.5000      475.50     0.49667      2.5299      130.43    
  1.5000      478.50     0.49667      2.5180      130.84    
  1.5000      481.50     0.44700      2.5047      131.20    
  1.5000      484.50     0.43044      2.4919      131.43    
  1.5000      487.50     0.44700      2.4905      131.80    
  1.5000      490.50     0.31456      2.4709      131.96    
  1.5000      493.50     0.51322      2.4619      132.39    
  1.5000      496.50     0.36422      2.4566      132.62    
  1.5000      499.50     0.54633      2.4495      132.91    
  1.5000      502.50     0.39733      2.4423      133.33    
  1.5000      505.50     0.33111      2.4255      133.50    
  1.5000      508.50     0.28144      2.4215      133.98    
  1.5000      511.50     0.54633      2.4161      134.16    
  1.5000      514.50     0.41389      2.4120      134.42    
  1.5000      517.50     0.43044      2.4077      134.84    
  1.5000      520.50     0.43044      2.3990      135.14    
  1.5000      523.50     0.43044      2.3917      135.50    
  1.5000      526.50     0.49667      2.3938      135.80    
  1.5000      529.50     0.52978      2.3872      135.90    
  1.5000      532.50     0.29800      2.3849      136.32    
  1.5000      535.50     0.36422      2.3776      136.62    
  1.5000      538.50     0.48011      2.3698      136.98    
  1.5000      541.50     0.44700      2.3693      137.24    
  1.5000      544.50     0.34767      2.3641      137.34    
