x  y  conc vel  dir
  1.5000      1.5000     0.55086E-01  1.4127     -95.980    
  1.5000      4.5000     0.27543E-01  1.4127     -95.980    
  1.5000      7.5000     0.27543E-01  1.4127     -95.980    
  1.5000      10.500     0.27543E-01  1.4130     -95.978    
  1.5000      13.500     0.18362E-01  1.4137     -96.114    
  1.5000      16.500     0.18362E-01  1.4138     -96.113    
  1.5000      19.500     0.18362E-01  1.4138     -96.047    
  1.5000      22.500     0.27543E-01  1.4146     -96.044    
  1.5000      25.500      0.0000      1.4167     -95.992    
  1.5000      28.500     0.45905E-01  1.4190     -95.944    
  1.5000      31.500     0.18362E-01  1.4206     -95.893    
  1.5000      34.500     0.27543E-01  1.4222     -95.840    
  1.5000      37.500     0.27543E-01  1.4244     -95.959    
  1.5000      40.500     0.27543E-01  1.4261     -95.914    
  1.5000      43.500     0.18362E-01  1.4280     -95.868    
  1.5000      46.500     0.18362E-01  1.4300     -95.823    
  1.5000      49.500     0.91810E-02  1.4321     -95.777    
  1.5000      52.500     0.36724E-01  1.4343     -95.732    
  1.5000      55.500      0.0000      1.4367     -95.687    
  1.5000      58.500     0.91810E-02  1.4391     -95.642    
  1.5000      61.500     0.27543E-01  1.4421     -95.829    
  1.5000      64.500      0.0000      1.4449     -95.793    
  1.5000      67.500      0.0000      1.4477     -95.756    
  1.5000      70.500     0.36724E-01  1.4507     -95.721    
  1.5000      73.500     0.18362E-01  1.4539     -95.685    
  1.5000      76.500     0.18362E-01  1.4571     -95.651    
  1.5000      79.500      0.0000      1.4605     -95.617    
  1.5000      82.500     0.91810E-02  1.4637     -95.585    
  1.5000      85.500     0.18362E-01  1.4677     -95.839    
  1.5000      88.500     0.91810E-02  1.4715     -95.814    
  1.5000      91.500     0.91810E-02  1.4754     -95.789    
  1.5000      94.500      0.0000      1.4795     -95.766    
  1.5000      97.500      0.0000      1.4838     -95.743    
  1.5000      100.50     0.91810E-02  1.4882     -95.721    
  1.5000      103.50     0.91810E-02  1.4928     -95.700    
  1.5000      106.50     0.18362E-01  1.4975     -95.679    
  1.5000      109.50     0.18362E-01  1.5019     -95.662    
  1.5000      112.50     0.91810E-02  1.5074     -95.978    
  1.5000      115.50     0.18362E-01  1.5126     -95.965    
  1.5000      118.50     0.27543E-01  1.5179     -95.953    
  1.5000      121.50     0.18362E-01  1.5235     -95.942    
  1.5000      124.50     0.91810E-02  1.5291     -95.931    
  1.5000      127.50      0.0000      1.5349     -95.922    
  1.5000      130.50     0.91810E-02  1.5409     -95.914    
  1.5000      133.50     0.91810E-02  1.5468     -95.907    
  1.5000      136.50      0.0000      1.5542     -96.351    
  1.5000      139.50      0.0000      1.5606     -96.348    
  1.5000      142.50     0.91810E-02  1.5670     -96.345    
  1.5000      145.50     0.91810E-02  1.5737     -96.343    
  1.5000      148.50     0.27543E-01  1.5804     -96.342    
  1.5000      151.50      0.0000      1.5872     -96.341    
  1.5000      154.50      0.0000      1.5941     -96.341    
  1.5000      157.50     0.91810E-02  1.6004     -96.344    
  1.5000      160.50      0.0000      1.6083     -96.804    
  1.5000      163.50      0.0000      1.6154     -96.804    
  1.5000      166.50      0.0000      1.6226     -96.805    
  1.5000      169.50     0.91810E-02  1.6297     -96.806    
  1.5000      172.50     0.27543E-01  1.6369     -96.807    
  1.5000      175.50     0.91810E-02  1.6441     -96.808    
  1.5000      178.50      0.0000      1.6513     -96.810    
  1.5000      181.50     0.18362E-01  1.6584     -96.812    
  1.5000      184.50      0.0000      1.6661     -96.985    
  1.5000      187.50      0.0000      1.6731     -96.985    
  1.5000      190.50      0.0000      1.6767     -97.000    
  1.5000      193.50      0.0000      1.6802     -97.000    
  1.5000      196.50      0.0000      1.6870     -97.000    
  1.5000      199.50      0.0000      1.6938     -97.000    
  1.5000      202.50      0.0000      1.7004     -97.000    
  1.5000      205.50     0.18362E-01  1.7069     -97.000    
  1.5000      208.50     0.91810E-02  1.7133     -97.000    
  1.5000      211.50      0.0000      1.7195     -97.000    
  1.5000      214.50     0.91810E-02  1.7255     -97.000    
  1.5000      217.50      0.0000      1.7313     -97.000    
  1.5000      220.50      0.0000      1.7369     -97.000    
  1.5000      223.50     0.91810E-02  1.7422     -97.000    
  1.5000      226.50      0.0000      1.7474     -97.000    
  1.5000      229.50      0.0000      1.7523     -97.000    
  1.5000      232.50      0.0000      1.7569     -97.000    
  1.5000      235.50      0.0000      1.7613     -97.000    
  1.5000      238.50      0.0000      1.7654     -97.000    
