x  y  conc vel  dir
  1.5000      1.5000      0.0000      5.0736      157.04    
  1.5000      4.5000      0.0000      5.0736      157.04    
  1.5000      7.5000      0.0000      5.0641      157.04    
  1.5000      10.500      0.0000      5.0545      157.04    
  1.5000      13.500      0.0000      5.0530      157.08    
  1.5000      16.500      0.0000      5.0351      157.04    
  1.5000      19.500      0.0000      5.0351      157.04    
  1.5000      22.500      0.0000      5.0336      157.08    
  1.5000      25.500      0.0000      5.0154      157.04    
  1.5000      28.500      0.0000      5.0139      157.08    
  1.5000      31.500      0.0000      4.9954      157.04    
  1.5000      34.500      0.0000      4.9954      157.04    
  1.5000      37.500      0.0000      4.9939      157.08    
  1.5000      40.500      0.0000      4.9753      157.04    
  1.5000      43.500      0.0000      4.9737      157.08    
  1.5000      46.500      0.0000      4.9550      157.04    
  1.5000      49.500      0.0000      4.9550      157.04    
  1.5000      52.500      0.0000      4.9534      157.08    
  1.5000      55.500      0.0000      4.9346      157.04    
  1.5000      58.500      0.0000      4.9346      157.04    
  1.5000      61.500      0.0000      4.9244      157.04    
  1.5000      64.500      0.0000      4.9141      157.04    
  1.5000      67.500      0.0000      4.9126      157.09    
  1.5000      70.500      0.0000      4.8937      157.04    
  1.5000      73.500      0.0000      4.8937      157.04    
  1.5000      76.500      0.0000      4.8921      157.09    
  1.5000      79.500      0.0000      4.8732      157.04    
  1.5000      82.500      0.0000      4.8717      157.09    
  1.5000      85.500      0.0000      4.8529      157.04    
  1.5000      88.500      0.0000      4.8529      157.04    
  1.5000      91.500      0.0000      4.8514      157.09    
  1.5000      94.500      0.0000      4.8327      157.04    
  1.5000      97.500      0.0000      4.8304      157.11    
  1.5000      100.50      0.0000      4.8074      156.91    
  1.5000      103.50      0.0000      4.8026      156.73    
  1.5000      106.50      0.0000      4.8010      156.53    
  1.5000      109.50      0.0000      4.7834      156.06    
  1.5000      112.50      0.0000      4.7846      155.71    
  1.5000      115.50      0.0000      4.7755      155.36    
  1.5000      118.50      0.0000      4.7660      155.00    
  1.5000      121.50      0.0000      4.7699      154.72    
  1.5000      124.50      0.0000      4.7517      154.32    
  1.5000      127.50      0.0000      4.7509      153.96    
  1.5000      130.50      0.0000      4.7399      153.60    
  1.5000      133.50      0.0000      4.7287      153.24    
  1.5000      136.50      0.0000      4.7246      152.94    
  1.5000      139.50      0.0000      4.7055      152.54    
  1.5000      142.50      0.0000      4.6973      152.31    
  1.5000      145.50      0.0000      4.6933      152.18    
  1.5000      148.50      0.0000      4.6737      151.78    
  1.5000      151.50      0.0000      4.6677      151.48    
  1.5000      154.50      0.0000      4.6478      151.09    
  1.5000      157.50      0.0000      4.6441      150.71    
  1.5000      160.50      0.0000      4.6448      150.47    
  1.5000      163.50      0.0000      4.6245      150.08    
  1.5000      166.50      0.0000      4.6162      149.79    
  1.5000      169.50      0.0000      4.5954      149.41    
  1.5000      172.50      0.0000      4.5899      149.04    
  1.5000      175.50      0.0000      4.5799      148.76    
  1.5000      178.50      0.0000      4.5584      148.38    
  1.5000      181.50      0.0000      4.5460      148.13    
  1.5000      184.50      0.0000      4.5327      147.99    
  1.5000      187.50      0.0000      4.5157      147.67    
  1.5000      190.50      0.0000      4.5029      147.39    
  1.5000      193.50      0.0000      4.4804      147.04    
  1.5000      196.50      0.0000      4.4813      146.76    
  1.5000      199.50      0.0000      4.4624      146.46    
  1.5000      202.50      0.0000      4.4432      146.16    
  1.5000      205.50      0.0000      4.4271      145.91    
  1.5000      208.50      0.0000      4.4031      145.59    
  1.5000      211.50      0.0000      4.3916      145.23    
  1.5000      214.50      0.0000      4.3732      144.98    
  1.5000      217.50      0.0000      4.3439      144.76    
  1.5000      220.50     0.15870E-01  4.3308      144.70    
  1.5000      223.50      0.0000      4.3056      144.41    
  1.5000      226.50      0.0000      4.2914      144.06    
  1.5000      229.50      0.0000      4.2696      143.83    
  1.5000      232.50      0.0000      4.2432      143.56    
  1.5000      235.50     0.15870E-01  4.2313      143.46    
  1.5000      238.50      0.0000      4.2041      143.22    
  1.5000      241.50     0.15870E-01  4.1869      142.87    
  1.5000      244.50      0.0000      4.1612      142.67    
  1.5000      247.50      0.0000      4.1327      142.46    
  1.5000      250.50      0.0000      4.1136      142.12    
  1.5000      253.50     0.31741E-01  4.0847      141.93    
  1.5000      256.50     0.31741E-01  4.0536      141.77    
  1.5000      259.50     0.31741E-01  4.0344      141.76    
  1.5000      262.50     0.31741E-01  4.0042      141.59    
  1.5000      265.50     0.79352E-01  3.9822      141.26    
  1.5000      268.50     0.79352E-01  3.9508      141.11    
  1.5000      271.50     0.14283      3.9189      140.96    
  1.5000      274.50      0.0000      3.8981      140.97    
  1.5000      277.50     0.15870      3.8659      140.86    
  1.5000      280.50     0.12696      3.8407      140.56    
  1.5000      283.50     0.79352E-01  3.8051      140.45    
  1.5000      286.50     0.12696      3.7719      140.38    
  1.5000      289.50     0.14283      3.7350      140.28    
  1.5000      292.50     0.79352E-01  3.7029      140.21    
  1.5000      295.50     0.14283      3.6889      140.08    
  1.5000      298.50     0.20631      3.6507      140.00    
  1.5000      301.50     0.20631      3.6172      140.00    
  1.5000      304.50     0.12696      3.5781      139.94    
  1.5000      307.50     0.15870      3.5445      139.97    
  1.5000      310.50     0.26980      3.5270      139.91    
  1.5000      313.50     0.17457      3.4867      139.89    
  1.5000      316.50     0.33328      3.4530      139.97    
  1.5000      319.50     0.22219      3.4221      139.77    
  1.5000      322.50     0.22219      3.3849      139.84    
  1.5000      325.50     0.46024      3.3478      139.91    
  1.5000      328.50     0.38089      3.3067      139.94    
  1.5000      331.50     0.38089      3.2786      140.02    
  1.5000      334.50     0.31741      3.2627      139.94    
  1.5000      337.50     0.39676      3.2219      140.00    
  1.5000      340.50     0.42850      3.1904      140.21    
  1.5000      343.50     0.33328      3.1500      140.28    
  1.5000      346.50     0.33328      3.1195      140.52    
  1.5000      349.50     0.42850      3.0987      140.60    
  1.5000      352.50     0.57133      3.0588      140.71    
  1.5000      355.50     0.46024      3.0295      140.99    
  1.5000      358.50     0.41263      2.9905      141.12    
  1.5000      361.50     0.58720      2.9625      141.44    
  1.5000      364.50     0.49198      2.9321      141.41    
  1.5000      367.50     0.46024      2.9000      141.44    
  1.5000      370.50     0.50785      2.8887      141.79    
  1.5000      373.50     0.41263      2.8592      141.79    
  1.5000      376.50     0.60307      2.8288      142.07    
  1.5000      379.50     0.50785      2.7987      142.36    
  1.5000      382.50     0.47611      2.7640      142.57    
  1.5000      385.50     0.49198      2.7495      143.10    
  1.5000      388.50     0.55546      2.7220      143.16    
  1.5000      391.50     0.58720      2.6950      143.49    
  1.5000      394.50     0.52372      2.6686      143.83    
  1.5000      397.50     0.39676      2.6374      144.07    
  1.5000      400.50     0.33328      2.6187      144.52    
  1.5000      403.50     0.58720      2.5939      144.64    
  1.5000      406.50     0.53959      2.5704      144.74    
  1.5000      409.50     0.46024      2.5660      145.14    
  1.5000      412.50     0.61894      2.5387      145.41    
  1.5000      415.50     0.38089      2.5241      145.88    
  1.5000      418.50     0.65069      2.5023      146.04    
  1.5000      421.50     0.52372      2.4775      146.33    
  1.5000      424.50     0.52372      2.4711      146.90    
  1.5000      427.50     0.55546      2.4480      147.19    
  1.5000      430.50     0.55546      2.4381      147.67    
  1.5000      433.50     0.36502      2.4194      147.87    
  1.5000      436.50     0.47611      2.3990      148.17    
  1.5000      439.50     0.42850      2.3919      148.66    
  1.5000      442.50     0.46024      2.3754      148.88    
  1.5000      445.50     0.33328      2.3681      149.11    
  1.5000      448.50     0.36502      2.3650      149.39    
  1.5000      451.50     0.41263      2.3488      149.69    
  1.5000      454.50     0.50785      2.3461      150.17    
  1.5000      457.50     0.38089      2.3329      150.42    
  1.5000      460.50     0.58720      2.3258      150.80    
  1.5000      463.50     0.49198      2.3218      151.22    
  1.5000      466.50     0.30154      2.3099      151.50    
  1.5000      469.50     0.31741      2.3119      151.96    
  1.5000      472.50     0.38089      2.3020      152.22    
  1.5000      475.50     0.36502      2.2927      152.50    
  1.5000      478.50     0.41263      2.2975      152.95    
  1.5000      481.50     0.46024      2.2928      153.07    
  1.5000      484.50     0.31741      2.3025      153.36    
  1.5000      487.50     0.39676      2.2959      153.63    
  1.5000      490.50     0.30154      2.2903      153.89    
  1.5000      493.50     0.36502      2.2977      154.30    
  1.5000      496.50     0.30154      2.2935      154.55    
  1.5000      499.50     0.41263      2.3001      154.92    
  1.5000      502.50     0.46024      2.2967      155.19    
  1.5000      505.50     0.33328      2.2942      155.45    
  1.5000      508.50     0.36502      2.2993      155.78    
  1.5000      511.50     0.26980      2.2979      156.05    
  1.5000      514.50     0.34915      2.2991      156.34    
  1.5000      517.50     0.34915      2.2989      156.61    
  1.5000      520.50     0.38089      2.3003      156.83    
  1.5000      523.50     0.39676      2.3008      157.04    
  1.5000      526.50     0.26980      2.3022      157.32    
  1.5000      529.50     0.36502      2.3053      157.61    
  1.5000      532.50     0.31741      2.3081      157.89    
  1.5000      535.50     0.49198      2.3116      158.17    
