x  y  conc vel  dir
  1.5000      1.5000      0.0000      1.5798     -67.131    
  1.5000      4.5000      0.0000      1.6003     -67.136    
  1.5000      7.5000      0.0000      1.6218     -67.140    
  1.5000      10.500      0.0000      1.6442     -67.144    
  1.5000      13.500      0.0000      1.6675     -67.148    
  1.5000      16.500      0.0000      1.6918     -67.151    
  1.5000      19.500      0.0000      1.7152     -67.304    
  1.5000      22.500      0.0000      1.7413     -67.311    
  1.5000      25.500      0.0000      1.7683     -67.316    
  1.5000      28.500      0.0000      1.7962     -67.322    
  1.5000      31.500      0.0000      1.8125     -67.162    
  1.5000      34.500      0.0000      1.8271     -67.165    
  1.5000      37.500      0.0000      1.8567     -67.167    
  1.5000      40.500      0.0000      1.8871     -67.168    
  1.5000      43.500      0.0000      1.9181     -67.169    
  1.5000      46.500      0.0000      1.9498     -67.169    
  1.5000      49.500      0.0000      1.9820     -67.169    
  1.5000      52.500      0.0000      2.0147     -67.168    
  1.5000      55.500      0.0000      2.0476     -67.167    
  1.5000      58.500      0.0000      2.0783     -67.329    
  1.5000      61.500      0.0000      2.1116     -67.325    
  1.5000      64.500      0.0000      2.1448     -67.319    
  1.5000      67.500      0.0000      2.1778     -67.312    
  1.5000      70.500      0.0000      2.1967     -67.154    
  1.5000      73.500      0.0000      2.2129     -67.151    
  1.5000      76.500      0.0000      2.2451     -67.146    
  1.5000      79.500      0.0000      2.2766     -67.141    
  1.5000      82.500      0.0000      2.3072     -67.135    
  1.5000      85.500      0.0000      2.3370     -67.128    
  1.5000      88.500      0.0000      2.3656     -67.122    
  1.5000      91.500      0.0000      2.3929     -67.115    
  1.5000      94.500      0.0000      2.4169     -67.221    
  1.5000      97.500      0.0000      2.4417     -67.207    
  1.5000      100.50      0.0000      2.4649     -67.192    
  1.5000      103.50      0.0000      2.4865     -67.178    
  1.5000      106.50      0.0000      2.4985     -67.085    
  1.5000      109.50      0.0000      2.5082     -67.078    
  1.5000      112.50      0.0000      2.5265     -67.071    
  1.5000      115.50      0.0000      2.5433     -67.064    
  1.5000      118.50      0.0000      2.5586     -67.058    
  1.5000      121.50      0.0000      2.5724     -67.052    
  1.5000      124.50      0.0000      2.5847     -67.046    
  1.5000      127.50      0.0000      2.5957     -67.040    
  1.5000      130.50      0.0000      2.6053     -67.035    
  1.5000      133.50      0.0000      2.6130     -67.066    
  1.5000      136.50      0.0000      2.6204     -67.056    
  1.5000      139.50      0.0000      2.6265     -67.047    
  1.5000      142.50      0.0000      2.6316     -67.038    
  1.5000      145.50      0.0000      2.6342     -67.017    
  1.5000      148.50      0.0000      2.6359     -67.013    
  1.5000      151.50      0.0000      2.6387     -67.009    
  1.5000      154.50      0.0000      2.6405     -67.004    
  1.5000      157.50      0.0000      2.6412     -67.000    
  1.5000      160.50      0.0000      2.6408     -66.996    
  1.5000      163.50      0.0000      2.6393     -66.992    
  1.5000      166.50      0.0000      2.6368     -66.988    
  1.5000      169.50      0.0000      2.6332     -66.984    
  1.5000      172.50      0.0000      2.6289     -66.963    
  1.5000      175.50      0.0000      2.6232     -66.955    
  1.5000      178.50      0.0000      2.6166     -66.947    
  1.5000      181.50      0.0000      2.6125     -66.971    
  1.5000      184.50      0.0000      2.6084     -66.967    
  1.5000      187.50      0.0000      2.5997     -66.963    
  1.5000      190.50      0.0000      2.5900     -66.959    
  1.5000      193.50      0.0000      2.5794     -66.955    
  1.5000      196.50      0.0000      2.5677     -66.951    
  1.5000      199.50      0.0000      2.5551     -66.947    
  1.5000      202.50      0.0000      2.5414     -66.942    
  1.5000      205.50      0.0000      2.5267     -66.937    
  1.5000      208.50      0.0000      2.5121     -66.870    
  1.5000      211.50      0.0000      2.4953     -66.860    
  1.5000      214.50      0.0000      2.4774     -66.850    
  1.5000      217.50      0.0000      2.4584     -66.840    
  1.5000      220.50      0.0000      2.4472     -66.917    
  1.5000      223.50      0.0000      2.4369     -66.913    
  1.5000      226.50      0.0000      2.4158     -66.908    
  1.5000      229.50      0.0000      2.3937     -66.903    
  1.5000      232.50      0.0000      2.3709     -66.898    
  1.5000      235.50      0.0000      2.3472     -66.894    
  1.5000      238.50      0.0000      2.3229     -66.891    
  1.5000      241.50      0.0000      2.2980     -66.887    
  1.5000      244.50      0.0000      2.2727     -66.884    
  1.5000      247.50      0.0000      2.2490     -66.765    
  1.5000      250.50      0.0000      2.2232     -66.760    
  1.5000      253.50      0.0000      2.1973     -66.757    
  1.5000      256.50      0.0000      2.1714     -66.754    
  1.5000      259.50      0.0000      2.1564     -66.876    
  1.5000      262.50      0.0000      2.1435     -66.876    
  1.5000      265.50      0.0000      2.1179     -66.876    
  1.5000      268.50      0.0000      2.0924     -66.876    
