x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.0985     -62.379    
  1.5000      4.5000      0.0000      2.1329     -62.387    
  1.5000      7.5000      0.0000      2.1686     -62.394    
  1.5000      10.500      0.0000      2.1907     -62.198    
  1.5000      13.500      0.0000      2.2095     -62.203    
  1.5000      16.500      0.0000      2.2476     -62.205    
  1.5000      19.500      0.0000      2.2868     -62.207    
  1.5000      22.500      0.0000      2.3271     -62.208    
  1.5000      25.500      0.0000      2.3683     -62.209    
  1.5000      28.500      0.0000      2.4057     -62.415    
  1.5000      31.500      0.0000      2.4483     -62.415    
  1.5000      34.500      0.0000      2.4915     -62.413    
  1.5000      37.500      0.0000      2.5180     -62.205    
  1.5000      40.500      0.0000      2.5399     -62.205    
  1.5000      43.500      0.0000      2.5838     -62.202    
  1.5000      46.500      0.0000      2.6277     -62.198    
  1.5000      49.500      0.0000      2.6714     -62.193    
  1.5000      52.500      0.0000      2.7100     -62.379    
  1.5000      55.500      0.0000      2.7527     -62.367    
  1.5000      58.500      0.0000      2.7945     -62.354    
  1.5000      61.500      0.0000      2.8197     -62.173    
  1.5000      64.500      0.0000      2.8397     -62.167    
  1.5000      67.500      0.0000      2.8790     -62.158    
  1.5000      70.500      0.0000      2.9166     -62.149    
  1.5000      73.500      0.0000      2.9524     -62.139    
  1.5000      76.500      0.0000      2.9862     -62.129    
  1.5000      79.500      0.0000      3.0143     -62.247    
  1.5000      82.500      0.0000      3.0438     -62.227    
  1.5000      85.500      0.0000      3.0710     -62.206    
  1.5000      88.500      0.0000      3.0867     -62.098    
  1.5000      91.500      0.0000      3.0985     -62.088    
  1.5000      94.500      0.0000      3.1205     -62.078    
  1.5000      97.500      0.0000      3.1400     -62.068    
  1.5000      100.50      0.0000      3.1572     -62.059    
  1.5000      103.50      0.0000      3.1704     -62.110    
  1.5000      106.50      0.0000      3.1834     -62.093    
  1.5000      109.50      0.0000      3.1943     -62.078    
  1.5000      112.50      0.0000      3.2004     -62.035    
  1.5000      115.50      0.0000      3.2044     -62.029    
  1.5000      118.50      0.0000      3.2115     -62.022    
  1.5000      121.50      0.0000      3.2169     -62.016    
  1.5000      124.50      0.0000      3.2208     -62.011    
  1.5000      127.50      0.0000      3.2232     -62.006    
  1.5000      130.50      0.0000      3.2240     -62.006    
  1.5000      133.50      0.0000      3.2238     -61.996    
  1.5000      136.50      0.0000      3.2222     -61.986    
  1.5000      139.50      0.0000      3.2208     -61.991    
  1.5000      142.50      0.0000      3.2190     -61.986    
  1.5000      145.50      0.0000      3.2146     -61.981    
  1.5000      148.50      0.0000      3.2088     -61.976    
  1.5000      151.50      0.0000      3.2017     -61.970    
  1.5000      154.50      0.0000      3.1932     -61.965    
  1.5000      157.50      0.0000      3.1844     -61.926    
  1.5000      160.50      0.0000      3.1735     -61.916    
  1.5000      163.50      0.0000      3.1614     -61.907    
  1.5000      166.50      0.0000      3.1536     -61.951    
  1.5000      169.50      0.0000      3.1466     -61.947    
  1.5000      172.50      0.0000      3.1320     -61.942    
  1.5000      175.50      0.0000      3.1163     -61.938    
  1.5000      178.50      0.0000      3.0996     -61.933    
  1.5000      181.50      0.0000      3.0836     -61.861    
  1.5000      184.50      0.0000      3.0648     -61.852    
  1.5000      187.50      0.0000      3.0448     -61.842    
  1.5000      190.50      0.0000      3.0322     -61.918    
  1.5000      193.50      0.0000      3.0213     -61.914    
