x  y  conc vel  dir
  1.5000      1.5000      0.0000      1.9593     -60.433    
  1.5000      4.5000      0.0000      1.9943     -60.439    
  1.5000      7.5000      0.0000      2.0165     -60.220    
  1.5000      10.500      0.0000      2.0348     -60.225    
  1.5000      13.500      0.0000      2.0720     -60.226    
  1.5000      16.500      0.0000      2.1101     -60.227    
  1.5000      19.500      0.0000      2.1491     -60.228    
  1.5000      22.500      0.0000      2.1838     -60.451    
  1.5000      25.500      0.0000      2.2240     -60.449    
  1.5000      28.500      0.0000      2.2646     -60.446    
  1.5000      31.500      0.0000      2.2900     -60.221    
  1.5000      34.500      0.0000      2.3104     -60.220    
  1.5000      37.500      0.0000      2.3514     -60.215    
  1.5000      40.500      0.0000      2.3921     -60.210    
  1.5000      43.500      0.0000      2.4324     -60.204    
  1.5000      46.500      0.0000      2.4671     -60.398    
  1.5000      49.500      0.0000      2.5059     -60.382    
  1.5000      52.500      0.0000      2.5298     -60.187    
  1.5000      55.500      0.0000      2.5483     -60.179    
  1.5000      58.500      0.0000      2.5845     -60.169    
  1.5000      61.500      0.0000      2.6190     -60.158    
  1.5000      64.500      0.0000      2.6515     -60.146    
  1.5000      67.500      0.0000      2.6781     -60.279    
  1.5000      70.500      0.0000      2.7065     -60.255    
  1.5000      73.500      0.0000      2.7325     -60.231    
  1.5000      76.500      0.0000      2.7479     -60.109    
  1.5000      79.500      0.0000      2.7590     -60.097    
  1.5000      82.500      0.0000      2.7796     -60.085    
  1.5000      85.500      0.0000      2.7976     -60.073    
  1.5000      88.500      0.0000      2.8130     -60.061    
  1.5000      91.500      0.0000      2.8242     -60.111    
  1.5000      94.500      0.0000      2.8351     -60.090    
  1.5000      97.500      0.0000      2.8411     -60.040    
  1.5000      100.50      0.0000      2.8449     -60.031    
  1.5000      103.50      0.0000      2.8512     -60.022    
  1.5000      106.50      0.0000      2.8557     -60.015    
  1.5000      109.50      0.0000      2.8584     -60.008    
  1.5000      112.50      0.0000      2.8594     -60.009    
  1.5000      115.50      0.0000      2.8595     -59.997    
  1.5000      118.50      0.0000      2.8582     -59.987    
  1.5000      121.50      0.0000      2.8570     -59.991    
  1.5000      124.50      0.0000      2.8555     -59.986    
  1.5000      127.50      0.0000      2.8519     -59.981    
  1.5000      130.50      0.0000      2.8473     -59.977    
  1.5000      133.50      0.0000      2.8417     -59.973    
  1.5000      136.50      0.0000      2.8359     -59.941    
  1.5000      139.50      0.0000      2.8284     -59.933    
  1.5000      142.50      0.0000      2.8234     -59.964    
  1.5000      145.50      0.0000      2.8190     -59.960    
  1.5000      148.50      0.0000      2.8096     -59.956    
  1.5000      151.50      0.0000      2.7992     -59.952    
  1.5000      154.50      0.0000      2.7879     -59.947    
  1.5000      157.50      0.0000      2.7772     -59.890    
  1.5000      160.50      0.0000      2.7643     -59.882    
  1.5000      163.50      0.0000      2.7505     -59.874    
  1.5000      166.50      0.0000      2.7416     -59.935    
  1.5000      169.50      0.0000      2.7341     -59.931    
  1.5000      172.50      0.0000      2.7185     -59.926    
  1.5000      175.50      0.0000      2.7019     -59.922    
  1.5000      178.50      0.0000      2.6866     -59.838    
  1.5000      181.50      0.0000      2.6683     -59.828    
  1.5000      184.50      0.0000      2.6490     -59.817    
  1.5000      187.50      0.0000      2.6366     -59.905    
  1.5000      190.50      0.0000      2.6261     -59.900    
  1.5000      193.50      0.0000      2.6045     -59.894    
  1.5000      196.50      0.0000      2.5818     -59.888    
  1.5000      199.50      0.0000      2.5580     -59.881    
  1.5000      202.50      0.0000      2.5361     -59.755    
