x  y  conc vel  dir
  1.5000      1.5000      0.0000      5.5258      130.74    
  1.5000      4.5000      0.0000      5.5618      130.87    
  1.5000      7.5000      0.0000      5.5863      130.88    
  1.5000      10.500      0.0000      5.6238      130.76    
  1.5000      13.500      0.0000      5.6704      130.77    
  1.5000      16.500      0.0000      5.7028      130.89    
  1.5000      19.500      0.0000      5.7247      130.89    
  1.5000      22.500      0.0000      5.7576      130.79    
  1.5000      25.500      0.0000      5.7980      130.81    
  1.5000      28.500      0.0000      5.8259      130.91    
  1.5000      31.500      0.0000      5.8443      130.91    
  1.5000      34.500      0.0000      5.8717      130.83    
  1.5000      37.500      0.0000      5.9047      130.85    
  1.5000      40.500      0.0000      5.9271      130.93    
  1.5000      43.500      0.0000      5.9416      130.93    
  1.5000      46.500      0.0000      5.9627      130.87    
  1.5000      49.500      0.0000      5.9876      130.89    
  1.5000      52.500      0.0000      6.0041      130.95    
  1.5000      55.500      0.0000      6.0145      130.95    
  1.5000      58.500      0.0000      6.0290      130.91    
  1.5000      61.500      0.0000      6.0455      130.93    
  1.5000      64.500      0.0000      6.0561      130.97    
  1.5000      67.500      0.0000      6.0623      130.97    
  1.5000      70.500      0.0000      6.0703      130.95    
  1.5000      73.500      0.0000      6.0787      130.97    
  1.5000      76.500      0.0000      6.0834      130.99    
  1.5000      79.500      0.0000      6.0857      130.99    
  1.5000      82.500      0.0000      6.0883      131.00    
  1.5000      85.500      0.0000      6.0883      131.00    
  1.5000      88.500      0.0000      6.0878      131.00    
  1.5000      91.500      0.0000      6.0864      131.01    
  1.5000      94.500      0.0000      6.0820      131.01    
  1.5000      97.500      0.0000      6.0767      131.03    
  1.5000      100.50      0.0000      6.0714      131.02    
  1.5000      103.50      0.0000      6.0669      131.02    
  1.5000      106.50      0.0000      6.0563      131.03    
  1.5000      109.50      0.0000      6.0464      131.06    
  1.5000      112.50      0.0000      6.0370      131.03    
  1.5000      115.50      0.0000      6.0296      131.04    
  1.5000      118.50      0.0000      6.0137      131.04    
  1.5000      121.50      0.0000      5.9998      131.08    
  1.5000      124.50      0.0000      5.9868      131.04    
  1.5000      127.50      0.0000      5.9771      131.05    
  1.5000      130.50      0.0000      5.9565      131.05    
  1.5000      133.50      0.0000      5.9393      131.11    
  1.5000      136.50      0.0000      5.9232      131.05    
  1.5000      139.50      0.0000      5.9114      131.06    
  1.5000      142.50      0.0000      5.8870      131.06    
  1.5000      145.50      0.0000      5.8668      131.12    
  1.5000      148.50      0.0000      5.8404      131.13    
  1.5000      151.50      0.0000      5.8209      131.07    
  1.5000      154.50      0.0000      5.8069      131.07    
  1.5000      157.50      0.0000      5.7843      131.14    
  1.5000      160.50      0.0000      5.7549      131.15    
  1.5000      163.50      0.0000      5.7334      131.07    
  1.5000      166.50      0.0000      5.7181      131.08    
  1.5000      169.50      0.0000      5.6935      131.16    
  1.5000      172.50      0.0000      5.6616      131.16    
  1.5000      175.50      0.0000      5.6384      131.08    
  1.5000      178.50      0.0000      5.6219      131.08    
  1.5000      181.50      0.0000      5.5957      131.17    
  1.5000      184.50      0.0000      5.5618      131.17    
  1.5000      187.50      0.0000      5.5372      131.09    
  1.5000      190.50      0.0000      5.5199      131.09    
  1.5000      193.50      0.0000      5.4885      131.14    
  1.5000      196.50      0.0000      5.4479      131.19    
  1.5000      199.50      0.0000      5.4134      130.87    
  1.5000      202.50      0.0000      5.3954      130.65    
  1.5000      205.50      0.0000      5.3676      130.39    
  1.5000      208.50      0.0000      5.3325      129.79    
  1.5000      211.50      0.0000      5.3069      129.43    
  1.5000      214.50      0.0000      5.2891      129.17    
  1.5000      217.50      0.0000      5.2614      128.75    
  1.5000      220.50      0.0000      5.2245      128.46    
  1.5000      223.50      0.0000      5.1984      128.07    
  1.5000      226.50      0.0000      5.1806      127.53    
  1.5000      229.50      0.0000      5.1510      127.34    
  1.5000      232.50      0.0000      5.1133      127.04    
  1.5000      235.50      0.0000      5.0877      126.37    
  1.5000      238.50      0.0000      5.0692      126.07    
  1.5000      241.50      0.0000      5.0316      125.77    
  1.5000      244.50      0.0000      5.0016      125.30    
  1.5000      247.50      0.0000      4.9763      124.89    
  1.5000      250.50      0.0000      4.9578      124.60    
  1.5000      253.50      0.0000      4.9212      124.01    
  1.5000      256.50      0.0000      4.8909      123.81    
  1.5000      259.50      0.0000      4.8665      123.41    
  1.5000      262.50      0.0000      4.8486      122.84    
  1.5000      265.50      0.0000      4.8127      122.54    
  1.5000      268.50      0.0000      4.7823      122.35    
  1.5000      271.50      0.0000      4.7491      121.76    
  1.5000      274.50      0.0000      4.7420      121.68    
  1.5000      277.50      0.0000      4.7072      121.12    
  1.5000      280.50      0.0000      4.6674      120.73    
  1.5000      283.50      0.0000      4.6561      120.58    
  1.5000      286.50      0.0000      4.6386      120.03    
  1.5000      289.50      0.0000      4.5961      119.56    
  1.5000      292.50      0.0000      4.5767      119.60    
  1.5000      295.50      0.0000      4.5560      119.00    
  1.5000      298.50      0.0000      4.5399      118.74    
  1.5000      301.50      0.0000      4.5086      118.52    
  1.5000      304.50      0.0000      4.4791      118.09    
  1.5000      307.50      0.0000      4.4495      117.89    
  1.5000      310.50      0.0000      4.4318      117.61    
  1.5000      313.50     0.15588E-01  4.4146      117.13    
  1.5000      316.50      0.0000      4.3879      116.99    
  1.5000      319.50      0.0000      4.3599      116.81    
  1.5000      322.50      0.0000      4.3416      116.33    
  1.5000      325.50     0.15588E-01  4.3271      116.14    
  1.5000      328.50      0.0000      4.3014      116.02    
  1.5000      331.50      0.0000      4.2727      115.65    
  1.5000      334.50     0.31176E-01  4.2584      115.47    
  1.5000      337.50      0.0000      4.2443      115.30    
  1.5000      340.50      0.0000      4.2165      114.98    
  1.5000      343.50     0.31176E-01  4.1931      114.89    
  1.5000      346.50     0.31176E-01  4.1798      114.76    
  1.5000      349.50     0.15588E-01  4.1623      114.41    
  1.5000      352.50      0.0000      4.1396      114.34    
  1.5000      355.50     0.15588E-01  4.1178      114.29    
  1.5000      358.50     0.46764E-01  4.1010      114.01    
  1.5000      361.50     0.46764E-01  4.0884      113.90    
  1.5000      364.50     0.15588E-01  4.0666      113.86    
  1.5000      367.50     0.62352E-01  4.0412      113.68    
  1.5000      370.50     0.15588E-01  4.0358      113.82    
  1.5000      373.50     0.15588E-01  4.0180      113.57    
  1.5000      376.50     0.93528E-01  3.9923      113.37    
  1.5000      379.50     0.15588E-01  3.9792      113.59    
  1.5000      382.50     0.77940E-01  3.9629      113.44    
  1.5000      385.50     0.77940E-01  3.9461      113.23    
  1.5000      388.50     0.10912      3.9315      113.40    
  1.5000      391.50     0.15588E-01  3.9078      113.34    
  1.5000      394.50     0.31176E-01  3.8984      113.39    
