x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.6846      94.032    
  1.5000      4.5000      0.0000      2.6758      94.061    
  1.5000      7.5000      0.0000      2.6706      94.088    
  1.5000      10.500      0.0000      2.6680      94.110    
  1.5000      13.500      0.0000      2.6675      94.127    
  1.5000      16.500      0.0000      2.6686      94.140    
  1.5000      19.500      0.0000      2.6709      94.149    
  1.5000      22.500      0.0000      2.6740      94.155    
  1.5000      25.500      0.0000      2.6772      94.160    
  1.5000      28.500      0.0000      2.6825      94.606    
  1.5000      31.500      0.0000      2.6870      94.617    
  1.5000      34.500      0.0000      2.6918      94.628    
  1.5000      37.500      0.0000      2.6969      94.638    
  1.5000      40.500      0.0000      2.7021      94.648    
  1.5000      43.500      0.0000      2.7076      94.657    
  1.5000      46.500      0.0000      2.7132      94.667    
  1.5000      49.500      0.0000      2.7192      94.675    
  1.5000      52.500      0.0000      2.7254      94.683    
  1.5000      55.500      0.0000      2.7320      94.690    
  1.5000      58.500      0.0000      2.7390      94.697    
  1.5000      61.500      0.0000      2.7465      94.702    
  1.5000      64.500      0.0000      2.7544      94.706    
  1.5000      67.500      0.0000      2.7627      94.709    
  1.5000      70.500      0.0000      2.7715      94.712    
  1.5000      73.500      0.0000      2.7831      95.266    
  1.5000      76.500      0.0000      2.7931      95.265    
  1.5000      79.500      0.0000      2.8036      95.264    
  1.5000      82.500      0.0000      2.8147      95.261    
  1.5000      85.500      0.0000      2.8263      95.257    
  1.5000      88.500      0.0000      2.8385      95.253    
  1.5000      91.500      0.0000      2.8511      95.247    
  1.5000      94.500      0.0000      2.8642      95.241    
  1.5000      97.500      0.0000      2.8778      95.234    
  1.5000      100.50      0.0000      2.8918      95.226    
  1.5000      103.50      0.0000      2.9063      95.217    
  1.5000      106.50      0.0000      2.9211      95.207    
  1.5000      109.50      0.0000      2.9363      95.196    
  1.5000      112.50      0.0000      2.9518      95.185    
  1.5000      115.50      0.0000      2.9696      95.588    
