x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.0312     -67.131    
  1.5000      4.5000      0.0000      2.0575     -67.136    
  1.5000      7.5000      0.0000      2.0851     -67.140    
  1.5000      10.500      0.0000      2.1139     -67.144    
  1.5000      13.500      0.0000      2.1439     -67.148    
  1.5000      16.500      0.0000      2.1752     -67.151    
  1.5000      19.500      0.0000      2.2052     -67.304    
  1.5000      22.500      0.0000      2.2388     -67.311    
  1.5000      25.500      0.0000      2.2735     -67.316    
  1.5000      28.500      0.0000      2.3094     -67.322    
  1.5000      31.500      0.0000      2.3304     -67.162    
  1.5000      34.500      0.0000      2.3491     -67.165    
  1.5000      37.500      0.0000      2.3872     -67.167    
  1.5000      40.500      0.0000      2.4262     -67.168    
  1.5000      43.500      0.0000      2.4662     -67.169    
  1.5000      46.500      0.0000      2.5069     -67.169    
  1.5000      49.500      0.0000      2.5483     -67.169    
  1.5000      52.500      0.0000      2.5903     -67.168    
  1.5000      55.500      0.0000      2.6327     -67.167    
  1.5000      58.500      0.0000      2.6721     -67.329    
  1.5000      61.500      0.0000      2.7149     -67.325    
  1.5000      64.500      0.0000      2.7576     -67.319    
  1.5000      67.500      0.0000      2.8000     -67.312    
  1.5000      70.500      0.0000      2.8244     -67.154    
  1.5000      73.500      0.0000      2.8452     -67.151    
  1.5000      76.500      0.0000      2.8866     -67.146    
  1.5000      79.500      0.0000      2.9271     -67.141    
  1.5000      82.500      0.0000      2.9665     -67.135    
  1.5000      85.500      0.0000      3.0047     -67.128    
  1.5000      88.500      0.0000      3.0415     -67.122    
  1.5000      91.500      0.0000      3.0767     -67.115    
  1.5000      94.500      0.0000      3.1075     -67.221    
  1.5000      97.500      0.0000      3.1393     -67.207    
  1.5000      100.50      0.0000      3.1692     -67.192    
  1.5000      103.50      0.0000      3.1970     -67.178    
  1.5000      106.50      0.0000      3.2124     -67.085    
  1.5000      109.50      0.0000      3.2248     -67.078    
  1.5000      112.50      0.0000      3.2485     -67.071    
  1.5000      115.50      0.0000      3.2701     -67.064    
  1.5000      118.50      0.0000      3.2897     -67.058    
  1.5000      121.50      0.0000      3.3074     -67.052    
  1.5000      124.50      0.0000      3.3233     -67.046    
  1.5000      127.50      0.0000      3.3374     -67.040    
  1.5000      130.50      0.0000      3.3498     -67.035    
  1.5000      133.50      0.0000      3.3597     -67.066    
  1.5000      136.50      0.0000      3.3691     -67.056    
  1.5000      139.50      0.0000      3.3770     -67.047    
  1.5000      142.50      0.0000      3.3835     -67.038    
  1.5000      145.50      0.0000      3.3869     -67.017    
  1.5000      148.50      0.0000      3.3891     -67.013    
  1.5000      151.50      0.0000      3.3927     -67.009    
  1.5000      154.50      0.0000      3.3950     -67.005    
  1.5000      157.50      0.0000      3.3959     -67.000    
  1.5000      160.50      0.0000      3.3954     -66.996    
  1.5000      163.50      0.0000      3.3935     -66.992    
  1.5000      166.50      0.0000      3.3903     -66.988    
  1.5000      169.50      0.0000      3.3856     -66.984    
  1.5000      172.50      0.0000      3.3800     -66.963    
  1.5000      175.50      0.0000      3.3728     -66.955    
  1.5000      178.50      0.0000      3.3643     -66.947    
  1.5000      181.50      0.0000      3.3590     -66.971    
  1.5000      184.50      0.0000      3.3538     -66.967    
  1.5000      187.50      0.0000      3.3426     -66.963    
  1.5000      190.50      0.0000      3.3301     -66.959    
  1.5000      193.50      0.0000      3.3164     -66.955    
  1.5000      196.50      0.0000      3.3015     -66.951    
  1.5000      199.50      0.0000      3.2852     -66.947    
  1.5000      202.50      0.0000      3.2676     -66.942    
  1.5000      205.50      0.0000      3.2487     -66.938    
  1.5000      208.50      0.0000      3.2299     -66.870    
  1.5000      211.50      0.0000      3.2083     -66.860    
  1.5000      214.50      0.0000      3.1853     -66.850    
  1.5000      217.50      0.0000      3.1609     -66.840    
  1.5000      220.50      0.0000      3.1465     -66.917    
  1.5000      223.50      0.0000      3.1333     -66.913    
  1.5000      226.50      0.0000      3.1061     -66.908    
  1.5000      229.50      0.0000      3.0778     -66.903    
  1.5000      232.50      0.0000      3.0484     -66.899    
  1.5000      235.50      0.0000      3.0179     -66.894    
  1.5000      238.50      0.0000      2.9867     -66.891    
  1.5000      241.50      0.0000      2.9547     -66.887    
  1.5000      244.50      0.0000      2.9222     -66.884    
  1.5000      247.50      0.0000      2.8917     -66.765    
  1.5000      250.50      0.0000      2.8586     -66.761    
  1.5000      253.50      0.0000      2.8252     -66.757    
  1.5000      256.50      0.0000      2.7919     -66.754    
  1.5000      259.50      0.0000      2.7727     -66.876    
  1.5000      262.50      0.0000      2.7561     -66.876    
  1.5000      265.50      0.0000      2.7231     -66.876    
