x  y  conc vel  dir
  1.5000      1.5000      0.0000      2.6067     -70.183    
  1.5000      4.5000      0.0000      2.6340     -70.192    
  1.5000      7.5000      0.0000      2.6627     -70.200    
  1.5000      10.500      0.0000      2.6929     -70.208    
  1.5000      13.500      0.0000      2.7246     -70.215    
  1.5000      16.500      0.0000      2.7427     -70.109    
  1.5000      19.500      0.0000      2.7596     -70.114    
  1.5000      22.500      0.0000      2.7944     -70.117    
  1.5000      25.500      0.0000      2.8306     -70.121    
  1.5000      28.500      0.0000      2.8684     -70.124    
  1.5000      31.500      0.0000      2.9075     -70.127    
  1.5000      34.500      0.0000      2.9482     -70.129    
  1.5000      37.500      0.0000      2.9902     -70.132    
  1.5000      40.500      0.0000      3.0336     -70.134    
  1.5000      43.500      0.0000      3.0782     -70.136    
  1.5000      46.500      0.0000      3.1241     -70.137    
  1.5000      49.500      0.0000      3.1712     -70.138    
  1.5000      52.500      0.0000      3.2165     -70.276    
  1.5000      55.500      0.0000      3.2655     -70.277    
  1.5000      58.500      0.0000      3.3154     -70.277    
  1.5000      61.500      0.0000      3.3660     -70.277    
  1.5000      64.500      0.0000      3.3944     -70.138    
  1.5000      67.500      0.0000      3.4200     -70.138    
  1.5000      70.500      0.0000      3.4716     -70.137    
  1.5000      73.500      0.0000      3.5234     -70.135    
  1.5000      76.500      0.0000      3.5751     -70.133    
  1.5000      79.500      0.0000      3.6268     -70.131    
  1.5000      82.500      0.0000      3.6780     -70.128    
  1.5000      85.500      0.0000      3.7287     -70.124    
  1.5000      88.500      0.0000      3.7786     -70.120    
  1.5000      91.500      0.0000      3.8275     -70.116    
  1.5000      94.500      0.0000      3.8752     -70.112    
  1.5000      97.500      0.0000      3.9216     -70.107    
  1.5000      100.50      0.0000      3.9637     -70.208    
  1.5000      103.50      0.0000      4.0069     -70.197    
  1.5000      106.50      0.0000      4.0482     -70.187    
  1.5000      109.50      0.0000      4.0875     -70.176    
  1.5000      112.50      0.0000      4.1248     -70.165    
  1.5000      115.50      0.0000      4.1451     -70.080    
  1.5000      118.50      0.0000      4.1621     -70.075    
  1.5000      121.50      0.0000      4.1950     -70.070    
  1.5000      124.50      0.0000      4.2258     -70.064    
  1.5000      127.50      0.0000      4.2544     -70.059    
  1.5000      130.50      0.0000      4.2808     -70.054    
  1.5000      133.50      0.0000      4.3052     -70.050    
  1.5000      136.50      0.0000      4.3275     -70.045    
  1.5000      139.50      0.0000      4.3478     -70.041    
  1.5000      142.50      0.0000      4.3662     -70.037    
  1.5000      145.50      0.0000      4.3828     -70.033    
  1.5000      148.50      0.0000      4.3975     -70.029    
  1.5000      151.50      0.0000      4.4096     -70.053    
