x  y  conc vel  dir
  1.5000      424.50     0.25866     0.98640     -134.43    
  1.5000      427.50     0.28909     0.98925     -134.50    
  1.5000      430.50     0.18258     0.99078     -134.50    
  1.5000      433.50     0.21301     0.99290     -134.57    
  1.5000      436.50     0.19780     0.99423     -134.62    
  1.5000      439.50     0.76076E-01 0.99767     -134.81    
  1.5000      442.50     0.76076E-01 0.99944     -134.86    
  1.5000      445.50     0.91292E-01  1.0015     -134.94    
  1.5000      448.50     0.27388      1.0027     -135.06    
  1.5000      451.50     0.12172      1.0057     -135.30    
  1.5000      454.50     0.10651      1.0050     -135.34    
  1.5000      457.50     0.19780      1.0076     -135.61    
  1.5000      460.50     0.15215E-01  1.0095     -135.75    
  1.5000      463.50     0.45646E-01  1.0124     -135.94    
  1.5000      466.50     0.91292E-01  1.0134     -136.03    
  1.5000      469.50     0.10651      1.0151     -136.30    
  1.5000      472.50     0.76076E-01  1.0167     -136.60    
  1.5000      475.50      0.0000      1.0162     -136.81    
  1.5000      478.50      0.0000      1.0176     -137.14    
  1.5000      481.50     0.45646E-01  1.0205     -137.36    
  1.5000      484.50     0.15215E-01  1.0219     -137.52    
  1.5000      487.50     0.60861E-01  1.0232     -137.88    
  1.5000      490.50     0.15215E-01  1.0248     -138.28    
  1.5000      493.50     0.45646E-01  1.0240     -138.57    
  1.5000      496.50     0.45646E-01  1.0254     -138.99    
  1.5000      499.50     0.30431E-01  1.0269     -139.43    
  1.5000      502.50     0.60861E-01  1.0304     -139.73    
  1.5000      505.50     0.15215E-01  1.0321     -139.95    
  1.5000      508.50     0.30431E-01  1.0334     -140.41    
  1.5000      511.50     0.30431E-01  1.0365     -140.85    
  1.5000      514.50     0.15215E-01  1.0357     -141.25    
  1.5000      517.50      0.0000      1.0375     -141.77    
  1.5000      520.50     0.15215E-01  1.0419     -142.13    
  1.5000      523.50     0.30431E-01  1.0438     -142.39    
  1.5000      526.50     0.30431E-01  1.0457     -142.95    
  1.5000      529.50     0.15215E-01  1.0477     -143.52    
  1.5000      532.50     0.15215E-01  1.0484     -144.06    
  1.5000      535.50     0.30431E-01  1.0490     -144.61    
  1.5000      538.50     0.15215E-01  1.0525     -145.29    
  1.5000      541.50      0.0000      1.0557     -145.62    
  1.5000      544.50      0.0000      1.0601     -145.99    
  1.5000      547.50      0.0000      1.0600     -146.65    
  1.5000      550.50     0.15215E-01  1.0690     -147.64    
  1.5000      553.50      0.0000      1.0698     -147.90    
  1.5000      556.50      0.0000      1.0783     -148.08    
  1.5000      559.50      0.0000      1.0792     -148.00    
  1.5000      562.50      0.0000      1.0862     -148.00    
  1.5000      565.50      0.0000      1.0897     -148.00    
  1.5000      568.50      0.0000      1.0935     -148.00    
  1.5000      571.50      0.0000      1.0973     -148.00    
  1.5000      574.50      0.0000      1.1012     -148.00    
  1.5000      577.50      0.0000      1.1052     -148.00    
  1.5000      580.50      0.0000      1.1094     -148.00    
  1.5000      583.50      0.0000      1.1167     -148.10    
  1.5000      586.50      0.0000      1.1180     -148.00    
  1.5000      589.50      0.0000      1.1257     -148.11    
  1.5000      592.50      0.0000      1.1270     -148.00    
  1.5000      595.50      0.0000      1.1351     -148.11    
  1.5000      598.50      0.0000      1.1364     -148.00    
  1.5000      601.50      0.0000      1.1449     -148.11    
  1.5000      604.50      0.0000      1.1463     -148.00    
  1.5000      607.50      0.0000      1.1552     -148.12    
  1.5000      610.50      0.0000      1.1567     -148.00    
  1.5000      613.50      0.0000      1.1675     -148.00    
  1.5000      616.50      0.0000      1.1731     -148.00    
  1.5000      619.50      0.0000      1.1788     -148.00    
  1.5000      622.50      0.0000      1.1846     -148.00    
  1.5000      625.50      0.0000      1.1906     -148.00    
  1.5000      628.50      0.0000      1.2012     -148.13    
  1.5000      631.50      0.0000      1.2030     -148.00    
  1.5000      634.50      0.0000      1.2140     -148.14    
  1.5000      637.50      0.0000      1.2158     -148.00    
  1.5000      640.50      0.0000      1.2273     -148.14    
  1.5000      643.50      0.0000      1.2293     -148.00    
  1.5000      646.50      0.0000      1.2413     -148.15    
  1.5000      649.50      0.0000      1.2433     -148.00    
  1.5000      652.50      0.0000      1.2558     -148.15    
  1.5000      655.50      0.0000      1.2579     -148.00    
  1.5000      658.50      0.0000      1.2709     -148.16    
  1.5000      661.50      0.0000      1.2731     -148.00    
  1.5000      664.50      0.0000      1.2890     -148.00    
  1.5000      667.50      0.0000      1.2971     -148.00    
  1.5000      670.50      0.0000      1.3056     -148.00    
  1.5000      673.50      0.0000      1.3140     -148.00    
  1.5000      676.50      0.0000      1.3229     -148.00    
  1.5000      679.50      0.0000      1.3384     -148.18    
  1.5000      682.50      0.0000      1.3409     -148.00    
  1.5000      685.50      0.0000      1.3571     -148.18    
  1.5000      688.50      0.0000      1.3598     -148.00    
  1.5000      691.50      0.0000      1.3767     -148.19    
  1.5000      694.50      0.0000      1.3795     -148.00    
  1.5000      697.50      0.0000      1.3971     -148.19    
  1.5000      700.50      0.0000      1.4000     -148.00    
  1.5000      703.50      0.0000      1.4184     -148.20    
  1.5000      706.50      0.0000      1.4215     -148.00    
  1.5000      709.50      0.0000      1.4407     -148.20    
  1.5000      712.50      0.0000      1.4439     -148.00    
  1.5000      715.50      0.0000      1.4672     -148.00    
  1.5000      718.50      0.0000      1.4792     -148.00    
  1.5000      721.50      0.0000      1.4916     -148.00    
  1.5000      724.50      0.0000      1.5041     -148.00    
  1.5000      727.50      0.0000      1.5171     -148.00    
  1.5000      730.50      0.0000      1.5398     -148.23    
  1.5000      733.50      0.0000      1.5436     -148.00    
  1.5000      736.50      0.0000      1.5672     -148.23    
  1.5000      739.50      0.0000      1.5712     -148.00    
  1.5000      742.50      0.0000      1.5958     -148.24    
  1.5000      745.50      0.0000      1.5999     -148.00    
  1.5000      748.50      0.0000      1.6255     -148.24    
  1.5000      751.50      0.0000      1.6297     -148.00    
  4.5000      1.5000     0.76076     0.97816     -152.27    
  4.5000      4.5000     0.71512     0.97334     -152.22    
  4.5000      7.5000     0.66947     0.96849     -152.17    
  4.5000      10.500     0.85206     0.96571     -152.18    
  4.5000      13.500     0.73033     0.96081     -152.12    
  4.5000      16.500     0.54775     0.95622     -152.03    
  4.5000      19.500     0.53253     0.95374     -152.00    
  4.5000      22.500     0.89770     0.94877     -151.94    
  4.5000      25.500     0.86727     0.94377     -151.88    
  4.5000      28.500     0.80641     0.94093     -151.88    
  4.5000      31.500     0.77598     0.93592     -151.82    
  4.5000      34.500     0.86727     0.93091     -151.75    
  4.5000      37.500     0.77598     0.92623     -151.64    
  4.5000      40.500     0.79119     0.92373     -151.61    
  4.5000      43.500      1.1107     0.91875     -151.53    
  4.5000      46.500      1.0803     0.91381     -151.46    
  4.5000      49.500      1.0042     0.91107     -151.45    
  4.5000      52.500     0.85206     0.90622     -151.37    
  4.5000      55.500     0.82162     0.90171     -151.26    
  4.5000      58.500      1.0803     0.89935     -151.21    
  4.5000      61.500      1.0042     0.89471     -151.13    
  4.5000      64.500      1.1259     0.89019     -151.04    
  4.5000      67.500      1.0651     0.88582     -150.94    
  4.5000      70.500      1.0955     0.88354     -150.92    
  4.5000      73.500     0.91292     0.87946     -150.82    
  4.5000      76.500     0.98899     0.87568     -150.70    
  4.5000      79.500     0.71512     0.87379     -150.65    
  4.5000      82.500     0.95856     0.87021     -150.54    
  4.5000      85.500      1.2172     0.86689     -150.43    
  4.5000      88.500      1.2020     0.86534     -150.38    
  4.5000      91.500      1.1868     0.86245     -150.26    
  4.5000      94.500      1.2324     0.85985     -150.15    
  4.5000      97.500      1.2020     0.85742     -150.04    
  4.5000      100.50      1.4911     0.85633     -149.98    
  4.5000      103.50      1.5520     0.85442     -149.86    
  4.5000      106.50      1.1716     0.85279     -149.75    
  4.5000      109.50      1.1411     0.85233     -149.66    
  4.5000      112.50      1.1259     0.85116     -149.54    
  4.5000      115.50      1.2781     0.84995     -149.45    
  4.5000      118.50      1.4911     0.84956     -149.39    
  4.5000      121.50      1.4454     0.84898     -149.27    
  4.5000      124.50      1.1259     0.84863     -149.16    
  4.5000      127.50      1.1716     0.84891     -149.06    
  4.5000      130.50      1.3542     0.84889     -148.94    
  4.5000      133.50      1.4302     0.84903     -148.82    
  4.5000      136.50      1.4150     0.84890     -148.75    
  4.5000      139.50      1.3998     0.84909     -148.70    
  4.5000      142.50      1.4759     0.84959     -148.58    
  4.5000      145.50      1.3694     0.85019     -148.47    
  4.5000      148.50      1.0346     0.85101     -148.36    
  4.5000      151.50      1.3389     0.85177     -148.25    
  4.5000      154.50     0.95856     0.85211     -148.19    
  4.5000      157.50     0.79119     0.85254     -148.14    
  4.5000      160.50      1.1259     0.85344     -148.03    
  4.5000      163.50      1.3389     0.85438     -147.92    
  4.5000      166.50      1.0194     0.85537     -147.81    
  4.5000      169.50      1.1259     0.85635     -147.70    
  4.5000      172.50     0.91292     0.85735     -147.59    
  4.5000      175.50      1.0651     0.85784     -147.54    
  4.5000      178.50      1.0346     0.85835     -147.48    
  4.5000      181.50      1.0955     0.85936     -147.37    
  4.5000      184.50     0.95856     0.86038     -147.26    
  4.5000      187.50      1.2781     0.86142     -147.15    
  4.5000      190.50     0.92813     0.86244     -147.04    
  4.5000      193.50      1.0194     0.86347     -146.93    
  4.5000      196.50     0.89770     0.86396     -146.87    
  4.5000      199.50      1.0803     0.86447     -146.82    
  4.5000      202.50      1.0499     0.86551     -146.70    
  4.5000      205.50     0.95856     0.86655     -146.59    
  4.5000      208.50     0.80641     0.86763     -146.48    
  4.5000      211.50     0.91292     0.86889     -146.37    
  4.5000      214.50     0.95856     0.86919     -146.33    
  4.5000      217.50      1.1716     0.86973     -146.31    
  4.5000      220.50      1.0955     0.87083     -146.19    
  4.5000      223.50     0.89770     0.87149     -146.05    
  4.5000      226.50     0.89770     0.87280     -145.92    
  4.5000      229.50     0.98899     0.87277     -145.73    
  4.5000      232.50     0.98899     0.87310     -145.57    
  4.5000      235.50     0.83684     0.87251     -145.47    
  4.5000      238.50     0.86727     0.87194     -145.37    
  4.5000      241.50     0.80641     0.87186     -145.20    
  4.5000      244.50     0.63904     0.87047     -144.96    
  4.5000      247.50      1.0499     0.87175     -144.85    
  4.5000      250.50      1.0651     0.87034     -144.60    
  4.5000      253.50     0.97378     0.87102     -144.55    
  4.5000      256.50     0.95856     0.86885     -144.36    
  4.5000      259.50     0.80641     0.87039     -144.24    
  4.5000      262.50     0.95856     0.86911     -143.97    
  4.5000      265.50      1.0346     0.87077     -143.83    
  4.5000      268.50     0.69990     0.86960     -143.55    
  4.5000      271.50     0.77598     0.87156     -143.41    
  4.5000      274.50     0.98899     0.86964     -143.20    
  4.5000      277.50      1.0346     0.87071     -143.12    
  4.5000      280.50      1.0042     0.86985     -142.82    
  4.5000      283.50     0.80641     0.87068     -142.58    
  4.5000      286.50     0.95856     0.87143     -142.33    
  4.5000      289.50     0.95856     0.87250     -142.09    
  4.5000      292.50     0.92813     0.87263     -141.93    
  4.5000      295.50     0.89770     0.87086     -141.67    
  4.5000      298.50     0.82162     0.87399     -141.50    
  4.5000      301.50     0.95856     0.87389     -141.16    
  4.5000      304.50     0.76076     0.87737     -140.99    
  4.5000      307.50     0.97378     0.87713     -140.61    
  4.5000      310.50     0.89770     0.88091     -140.44    
  4.5000      313.50     0.76076     0.88013     -140.18    
  4.5000      316.50     0.59340     0.88236     -140.08    
  4.5000      319.50     0.63904     0.88308     -139.72    
  4.5000      322.50     0.89770     0.88744     -139.55    
  4.5000      325.50     0.89770     0.88838     -139.11    
  4.5000      328.50     0.63904     0.89129     -138.85    
  4.5000      331.50     0.54775     0.89435     -138.58    
  4.5000      334.50     0.63904     0.89616     -138.43    
  4.5000      337.50     0.45646     0.89728     -138.22    
  4.5000      340.50     0.65426     0.90066     -137.97    
  4.5000      343.50     0.73033     0.90417     -137.72    
  4.5000      346.50     0.69990     0.90516     -137.33    
  4.5000      349.50     0.74555     0.91053     -137.20    
  4.5000      352.50     0.77598     0.91121     -136.96    
  4.5000      355.50     0.57818     0.91439     -136.87    
  4.5000      358.50     0.76076     0.91656     -136.55    
  4.5000      361.50     0.57818     0.92215     -136.44    
  4.5000      364.50     0.44124     0.92336     -136.08    
  4.5000      367.50     0.45646     0.92895     -135.99    
  4.5000      370.50     0.41081     0.93126     -135.71    
  4.5000      373.50     0.48689     0.93569     -135.71    
  4.5000      376.50     0.41081     0.93675     -135.40    
  4.5000      379.50     0.42603     0.94075     -135.25    
  4.5000      382.50     0.53253     0.94472     -135.11    
  4.5000      385.50     0.44124     0.94741     -134.90    
  4.5000      388.50     0.27388     0.95125     -134.79    
  4.5000      391.50     0.31952     0.95423     -134.74    
  4.5000      394.50     0.53253     0.95587     -134.62    
  4.5000      397.50     0.27388     0.95815     -134.44    
  4.5000      400.50     0.47167     0.96333     -134.47    
  4.5000      403.50     0.28909     0.96408     -134.24    
  4.5000      406.50     0.27388     0.96902     -134.29    
  4.5000      409.50     0.50210     0.97100     -134.18    
  4.5000      412.50     0.27388     0.97537     -134.28    
  4.5000      415.50     0.24344     0.97547     -134.13    
  4.5000      418.50     0.41081     0.98004     -134.23    
  4.5000      421.50     0.28909     0.98186     -134.18    
  4.5000      424.50     0.27388     0.98454     -134.21    
  4.5000      427.50     0.27388     0.98716     -134.14    
  4.5000      430.50     0.27388     0.99013     -134.21    
  4.5000      433.50     0.18258     0.99142     -134.20    
  4.5000      436.50     0.21301     0.99411     -134.30    
  4.5000      439.50     0.19780     0.99669     -134.42    
  4.5000      442.50     0.24344     0.99914     -134.56    
  4.5000      445.50     0.25866     0.99971     -134.61    
  4.5000      448.50     0.12172      1.0010     -134.73    
  4.5000      451.50     0.10651      1.0049     -134.93    
  4.5000      454.50     0.15215      1.0052     -134.93    
  4.5000      457.50     0.13694      1.0081     -135.19    
  4.5000      460.50     0.15215      1.0094     -135.38    
  4.5000      463.50     0.76076E-01  1.0100     -135.56    
  4.5000      466.50     0.12172      1.0112     -135.79    
  4.5000      469.50     0.12172      1.0135     -136.11    
  4.5000      472.50      0.0000      1.0161     -136.29    
  4.5000      475.50     0.15215E-01  1.0177     -136.43    
  4.5000      478.50     0.15215E-01  1.0201     -136.67    
  4.5000      481.50     0.76076E-01  1.0218     -137.01    
  4.5000      484.50     0.76076E-01  1.0213     -137.26    
  4.5000      487.50      0.0000      1.0229     -137.64    
  4.5000      490.50     0.15215E-01  1.0265     -137.91    
  4.5000      493.50     0.60861E-01  1.0279     -138.08    
  4.5000      496.50     0.45646E-01  1.0295     -138.49    
  4.5000      499.50     0.15215E-01  1.0315     -138.93    
  4.5000      502.50     0.60861E-01  1.0305     -139.25    
  4.5000      505.50     0.15215E-01  1.0326     -139.73    
  4.5000      508.50      0.0000      1.0339     -140.20    
  4.5000      511.50      0.0000      1.0387     -140.56    
  4.5000      514.50     0.15215E-01  1.0400     -140.76    
  4.5000      517.50      0.0000      1.0427     -141.31    
  4.5000      520.50      0.0000      1.0439     -141.81    
  4.5000      523.50     0.45646E-01  1.0443     -142.28    
  4.5000      526.50      0.0000      1.0453     -142.81    
  4.5000      529.50     0.15215E-01  1.0525     -143.15    
  4.5000      532.50      0.0000      1.0549     -143.44    
  4.5000      535.50     0.15215E-01  1.0572     -144.04    
  4.5000      538.50     0.15215E-01  1.0594     -144.65    
  4.5000      541.50      0.0000      1.0590     -145.17    
  4.5000      544.50      0.0000      1.0633     -145.87    
  4.5000      547.50      0.0000      1.0631     -146.53    
  4.5000      550.50      0.0000      1.0729     -147.21    
  4.5000      553.50      0.0000      1.0763     -147.56    
  4.5000      556.50     0.15215E-01  1.0852     -148.08    
  4.5000      559.50      0.0000      1.0862     -148.00    
  4.5000      562.50      0.0000      1.0924     -148.09    
  4.5000      565.50      0.0000      1.0935     -148.00    
  4.5000      568.50      0.0000      1.1001     -148.09    
  4.5000      571.50      0.0000      1.1012     -148.00    
  4.5000      574.50      0.0000      1.1082     -148.10    
  4.5000      577.50      0.0000      1.1094     -148.00    
  4.5000      580.50      0.0000      1.1180     -148.00    
  4.5000      583.50      0.0000      1.1224     -148.00    
  4.5000      586.50      0.0000      1.1270     -148.00    
  4.5000      589.50      0.0000      1.1316     -148.00    
  4.5000      592.50      0.0000      1.1364     -148.00    
  4.5000      595.50      0.0000      1.1449     -148.11    
  4.5000      598.50      0.0000      1.1463     -148.00    
  4.5000      601.50      0.0000      1.1552     -148.12    
  4.5000      604.50      0.0000      1.1567     -148.00    
  4.5000      607.50      0.0000      1.1660     -148.12    
  4.5000      610.50      0.0000      1.1675     -148.00    
  4.5000      613.50      0.0000      1.1772     -148.13    
  4.5000      616.50      0.0000      1.1788     -148.00    
  4.5000      619.50      0.0000      1.1889     -148.13    
  4.5000      622.50      0.0000      1.1906     -148.00    
  4.5000      625.50      0.0000      1.2030     -148.00    
  4.5000      628.50      0.0000      1.2093     -148.00    
  4.5000      631.50      0.0000      1.2158     -148.00    
  4.5000      634.50      0.0000      1.2224     -148.00    
  4.5000      637.50      0.0000      1.2293     -148.00    
  4.5000      640.50      0.0000      1.2361     -148.00    
  4.5000      643.50      0.0000      1.2433     -148.00    
  4.5000      646.50      0.0000      1.2558     -148.15    
  4.5000      649.50      0.0000      1.2579     -148.00    
  4.5000      652.50      0.0000      1.2709     -148.16    
  4.5000      655.50      0.0000      1.2731     -148.00    
  4.5000      658.50      0.0000      1.2867     -148.16    
  4.5000      661.50      0.0000      1.2890     -148.00    
  4.5000      664.50      0.0000      1.3032     -148.17    
  4.5000      667.50      0.0000      1.3056     -148.00    
  4.5000      670.50      0.0000      1.3204     -148.17    
  4.5000      673.50      0.0000      1.3229     -148.00    
  4.5000      676.50      0.0000      1.3409     -148.00    
  4.5000      679.50      0.0000      1.3502     -148.00    
  4.5000      682.50      0.0000      1.3598     -148.00    
  4.5000      685.50      0.0000      1.3694     -148.00    
  4.5000      688.50      0.0000      1.3795     -148.00    
  4.5000      691.50      0.0000      1.3895     -148.00    
  4.5000      694.50      0.0000      1.4000     -148.00    
  4.5000      697.50      0.0000      1.4184     -148.20    
  4.5000      700.50      0.0000      1.4215     -148.00    
  4.5000      703.50      0.0000      1.4407     -148.20    
  4.5000      706.50      0.0000      1.4439     -148.00    
  4.5000      709.50      0.0000      1.4639     -148.21    
  4.5000      712.50      0.0000      1.4672     -148.00    
  4.5000      715.50      0.0000      1.4881     -148.22    
  4.5000      718.50      0.0000      1.4916     -148.00    
  4.5000      721.50      0.0000      1.5134     -148.22    
  4.5000      724.50      0.0000      1.5171     -148.00    
  4.5000      727.50      0.0000      1.5436     -148.00    
  4.5000      730.50      0.0000      1.5571     -148.00    
  4.5000      733.50      0.0000      1.5712     -148.00    
  4.5000      736.50      0.0000      1.5853     -148.00    
  4.5000      739.50      0.0000      1.5999     -148.00    
  4.5000      742.50      0.0000      1.6145     -148.00    
  4.5000      745.50      0.0000      1.6297     -148.00    
  4.5000      748.50      0.0000      1.6563     -148.25    
  4.5000      751.50      0.0000      1.6607     -148.00    
  7.5000      1.5000     0.62383     0.98020     -152.33    
  7.5000      4.5000     0.76076     0.97541     -152.28    
  7.5000      7.5000     0.79119     0.97092     -152.19    
  7.5000      10.500     0.71512     0.96849     -152.17    
  7.5000      13.500     0.54775     0.96361     -152.11    
  7.5000      16.500     0.79119     0.95869     -152.06    
  7.5000      19.500     0.82162     0.95587     -152.06    
  7.5000      22.500     0.76076     0.95091     -152.01    
  7.5000      25.500      1.0194     0.94627     -151.91    
  7.5000      28.500     0.91292     0.94377     -151.88    
  7.5000      31.500     0.77598     0.93877     -151.81    
  7.5000      34.500     0.82162     0.93375     -151.75    
  7.5000      37.500     0.80641     0.93091     -151.75    
  7.5000      40.500     0.83684     0.92591     -151.68    
  7.5000      43.500     0.80641     0.92093     -151.61    
  7.5000      46.500     0.79119     0.91628     -151.50    
  7.5000      49.500     0.77598     0.91381     -151.46    
  7.5000      52.500     0.88249     0.90892     -151.38    
  7.5000      55.500     0.74555     0.90409     -151.30    
  7.5000      58.500      1.0499     0.90145     -151.29    
  7.5000      61.500     0.82162     0.89678     -151.20    
  7.5000      64.500      1.0346     0.89222     -151.11    
  7.5000      67.500      1.2324     0.88800     -150.99    
  7.5000      70.500      1.0194     0.88582     -150.94    
  7.5000      73.500      1.0346     0.88162     -150.85    
  7.5000      76.500      1.0651     0.87760     -150.75    
  7.5000      79.500      1.0499     0.87557     -150.71    
  7.5000      82.500      1.0803     0.87191     -150.60    
  7.5000      85.500      1.0651     0.86853     -150.49    
  7.5000      88.500     0.83684     0.86689     -150.43    
