x  y  conc vel  dir
  1.5000      1.5000     0.73033     0.97541     -152.28    
  1.5000      4.5000     0.56297     0.97058     -152.23    
  1.5000      7.5000     0.69990     0.96605     -152.14    
  1.5000      10.500     0.80641     0.96361     -152.11    
  1.5000      13.500     0.62383     0.95869     -152.06    
  1.5000      16.500     0.74555     0.95374     -152.00    
  1.5000      19.500     0.80641     0.95091     -152.01    
  1.5000      22.500     0.85206     0.94593     -151.95    
  1.5000      25.500     0.80641     0.94093     -151.88    
  1.5000      28.500     0.85206     0.93626     -151.78    
  1.5000      31.500     0.69990     0.93375     -151.75    
  1.5000      34.500     0.63904     0.92874     -151.68    
  1.5000      37.500     0.73033     0.92373     -151.61    
  1.5000      40.500     0.82162     0.92093     -151.61    
  1.5000      43.500      1.0955     0.91597     -151.53    
  1.5000      46.500     0.97378     0.91136     -151.42    
  1.5000      49.500     0.95856     0.90892     -151.38    
  1.5000      52.500     0.85206     0.90409     -151.30    
  1.5000      55.500     0.86727     0.89935     -151.21    
  1.5000      58.500      1.2324     0.89678     -151.20    
  1.5000      61.500      1.0499     0.89222     -151.11    
  1.5000      64.500      1.0042     0.88780     -151.02    
  1.5000      67.500     0.94335     0.88371     -150.90    
  1.5000      70.500      1.0042     0.88162     -150.85    
  1.5000      73.500      1.1107     0.87760     -150.75    
  1.5000      76.500      1.1107     0.87379     -150.65    
  1.5000      79.500      1.1259     0.87191     -150.60    
  1.5000      82.500      1.1259     0.86850     -150.49    
  1.5000      85.500      1.0803     0.86534     -150.38    
  1.5000      88.500      1.2324     0.86241     -150.27    
  1.5000      91.500      1.2020     0.86104     -150.21    
  1.5000      94.500      1.2781     0.85854     -150.10    
  1.5000      97.500      1.2172     0.85633     -149.98    
  1.5000      100.50      1.1411     0.85551     -149.91    
  1.5000      103.50      1.1259     0.85378     -149.78    
  1.5000      106.50      1.2933     0.85210     -149.69    
  1.5000      109.50      1.3085     0.85145     -149.63    
  1.5000      112.50      1.2324     0.85038     -149.51    
  1.5000      115.50      1.4607     0.84956     -149.39    
  1.5000      118.50      1.2477     0.84958     -149.30    
  1.5000      121.50      1.3237     0.84914     -149.18    
  1.5000      124.50      1.2020     0.84891     -149.06    
  1.5000      127.50      1.3389     0.84849     -148.98    
  1.5000      130.50      1.1107     0.84852     -148.92    
  1.5000      133.50      1.4302     0.84873     -148.81    
  1.5000      136.50      1.2781     0.84909     -148.70    
  1.5000      139.50      1.2477     0.84978     -148.59    
  1.5000      142.50      1.3389     0.85034     -148.48    
  1.5000      145.50      1.4911     0.85054     -148.41    
  1.5000      148.50      1.2020     0.85090     -148.36    
  1.5000      151.50      1.1259     0.85169     -148.25    
  1.5000      154.50      1.1259     0.85254     -148.14    
  1.5000      157.50      1.3237     0.85348     -148.03    
  1.5000      160.50     0.74555     0.85441     -147.92    
  1.5000      163.50     0.94335     0.85537     -147.81    
  1.5000      166.50      1.3542     0.85584     -147.75    
  1.5000      169.50      1.2020     0.85634     -147.70    
  1.5000      172.50     0.97378     0.85734     -147.59    
  1.5000      175.50      1.0803     0.85835     -147.48    
  1.5000      178.50      1.1411     0.85938     -147.37    
  1.5000      181.50     0.98899     0.86040     -147.26    
  1.5000      184.50     0.83684     0.86089     -147.21    
  1.5000      187.50      1.0042     0.86140     -147.15    
  1.5000      190.50      1.2781     0.86242     -147.04    
  1.5000      193.50     0.77598     0.86344     -146.93    
  1.5000      196.50     0.88249     0.86447     -146.82    
  1.5000      199.50      1.0955     0.86553     -146.70    
  1.5000      202.50     0.95856     0.86658     -146.59    
  1.5000      205.50     0.97378     0.86707     -146.53    
  1.5000      208.50     0.73033     0.86760     -146.48    
  1.5000      211.50      1.1564     0.86867     -146.36    
  1.5000      214.50      1.2324     0.86975     -146.25    
  1.5000      217.50     0.91292     0.87087     -146.16    
  1.5000      220.50      1.0346     0.87198     -146.08    
  1.5000      223.50     0.94335     0.87313     -145.96    
  1.5000      226.50     0.74555     0.87371     -145.90    
  1.5000      229.50     0.80641     0.87398     -145.81    
  1.5000      232.50     0.88249     0.87398     -145.61    
  1.5000      235.50     0.80641     0.87526     -145.49    
  1.5000      238.50     0.86727     0.87454     -145.28    
  1.5000      241.50     0.97378     0.87582     -145.16    
  1.5000      244.50     0.82162     0.87405     -145.00    
  1.5000      247.50     0.77598     0.87465     -144.95    
  1.5000      250.50      1.1868     0.87337     -144.71    
  1.5000      253.50     0.92813     0.87481     -144.59    
  1.5000      256.50      1.0955     0.87348     -144.34    
  1.5000      259.50      1.0194     0.87507     -144.21    
  1.5000      262.50     0.88249     0.87383     -143.96    
  1.5000      265.50      1.2172     0.87333     -143.83    
  1.5000      268.50     0.98899     0.87276     -143.70    
  1.5000      271.50     0.97378     0.87323     -143.49    
  1.5000      274.50     0.85206     0.87380     -143.27    
  1.5000      277.50      1.0042     0.87430     -143.05    
  1.5000      280.50     0.92813     0.87508     -142.82    
  1.5000      283.50     0.86727     0.87339     -142.60    
  1.5000      286.50     0.80641     0.87471     -142.52    
  1.5000      289.50      1.0194     0.87416     -142.20    
  1.5000      292.50     0.82162     0.87702     -142.05    
  1.5000      295.50     0.80641     0.87640     -141.70    
  1.5000      298.50     0.80641     0.87954     -141.54    
  1.5000      301.50     0.88249     0.87951     -141.21    
  1.5000      304.50     0.89770     0.88179     -141.14    
  1.5000      307.50     0.92813     0.88036     -140.87    
  1.5000      310.50     0.89770     0.88408     -140.70    
  1.5000      313.50     0.69990     0.88496     -140.32    
  1.5000      316.50     0.60861     0.88676     -140.04    
  1.5000      319.50     0.98899     0.88927     -139.77    
  1.5000      322.50     0.91292     0.89060     -139.61    
  1.5000      325.50     0.57818     0.89138     -139.42    
  1.5000      328.50     0.71512     0.89253     -139.07    
  1.5000      331.50     0.79119     0.89726     -138.91    
  1.5000      334.50     0.69990     0.89869     -138.56    
  1.5000      337.50     0.56297     0.90286     -138.36    
  1.5000      340.50     0.74555     0.90449     -138.02    
  1.5000      343.50     0.47167     0.90829     -137.98    
  1.5000      346.50     0.63904     0.90789     -137.69    
  1.5000      349.50     0.62383     0.91320     -137.55    
  1.5000      352.50     0.63904     0.91520     -137.23    
  1.5000      355.50     0.60861     0.91964     -137.06    
  1.5000      358.50     0.50210     0.92175     -136.75    
  1.5000      361.50     0.53253     0.92722     -136.65    
  1.5000      364.50     0.41081     0.92913     -136.38    
  1.5000      367.50     0.34995     0.93073     -136.21    
  1.5000      370.50     0.51732     0.93468     -136.03    
  1.5000      373.50     0.47167     0.93862     -135.87    
  1.5000      376.50     0.47167     0.94137     -135.64    
  1.5000      379.50     0.53253     0.94366     -135.41    
  1.5000      382.50     0.30431     0.94812     -135.43    
  1.5000      385.50     0.31952     0.94819     -135.20    
  1.5000      388.50     0.45646     0.95359     -135.17    
  1.5000      391.50     0.47167     0.95585     -134.98    
  1.5000      394.50     0.44124     0.95976     -134.91    
  1.5000      397.50     0.34995     0.96188     -134.74    
  1.5000      400.50     0.33474     0.96689     -134.77    
  1.5000      403.50     0.34995     0.96836     -134.67    
  1.5000      406.50     0.25866     0.97129     -134.67    
  1.5000      409.50     0.19780     0.97326     -134.56    
  1.5000      412.50     0.36517     0.97793     -134.63    
  1.5000      415.50     0.34995     0.97920     -134.41    
  1.5000      418.50     0.24344     0.98224     -134.43    
  1.5000      421.50     0.25866     0.98512     -134.47    
